stage_id,applies_to,lead_agent,owner_agent,reviewer_agent,assignment_source,derivation_source,required_skill_source,required_recipe_source,required_plugin_source,required_tool_source,required_surface_source,required_validator,evidence,allowed_actions,blocked_actions,stop_condition,status,chain_policy,discovery_policy,authority_policy,evidence_policy,missing_requirement_policy
capability_use.session_intake,task_intake_reusing_current_context,rey.control_plane_orchestrator,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/routing.json,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,existing_context_or_operation_result,classify_effect|consume_known_capability|resolve_only_material_gap,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.before_local_read,local_file_repo_or_matrix_read,codex.workspace_guardian,codex.workspace_guardian,court.seshat_evidence,.agents/codex/agents.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,read_result_or_source,read_selected_surface|record_source|validate_path,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.before_local_write,local_repo_or_governance_file_write,rey.repo_cartographer,rey.repo_cartographer,court.seshat_evidence,.agents/codex/agents.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,diff_and_relevant_validation,edit_scoped_artifact|stage_explicit_files|record_reversal,git_add_dot|secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.before_live_or_cost,external_operation_classified_by_actual_effect,rey.frontier_guardian,rey.frontier_guardian,court.sdu_gate,.agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,.agents/codex/matrices/ORDER_CLASS_CAPABILITY_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,operation_result_or_exact_prerequisite,route_READ_with_binding|route_LOW_with_write_controls|prepare_HIGH_order_when_required,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.skill_discovery_assignment,unknown_ambiguous_or_new_capability,rey.control_plane_orchestrator,rey.control_plane_orchestrator,court.thot_schema,.agents/skills/tcu-descubridor-capacidades/SKILL.md,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,resolved_capability_or_exact_gap,discover_capabilities|assign_skill_recipe_plugin_tool|mark_no_disponible|route_autonomous_lane,invented_skill|secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.autonomous_execution,local_github_or_codex_cloud_task_scoped_agent_execution,rey.control_plane_orchestrator,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_autonomous_agent_execution.ps1|.agents/codex/tools/local_validate_capability_use_hardening.ps1,autonomous_agent_execution_preflight,dispatch_scoped_agent|codex_cloud_status|codex_cloud_diff|apply_LOW_with_write_controls|prepare_HIGH_order_when_required|resolve_missing_environment,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved|codex_cloud_environment_missing,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.codex_environment,codex_app_local_worktree_or_cloud_environment_setup,court.openai_dispatcher,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/CODEX_ENVIRONMENT_CREATION_QUEUE_20260602.csv,.agents/codex/matrices/CODEX_APP_LOCAL_ENVIRONMENT_MATRIX_20260602.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_codex_app_environments.ps1|.agents/codex/tools/local_validate_capability_use_hardening.ps1,codex_environment_preflight,create_codex_app_local_env|prepare_codex_cloud_ui_order|mark_no_disponible_create_tool|validate_no_secrets,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,codex_app_environment_missing|codex_environment_creation_tool_unavailable|operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.standard_agent_chain,codex_cloud_standard_agent_chain_task,rey.control_plane_orchestrator,court.openai_dispatcher,court.sdu_gate,.agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv,.agents/codex/routing.json,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,.agents/codex/readbacks/2026-06-03_standard_agent_chain_activation.md,route_standard_agent_chain|run_agents_sdk_governed|record_readback,secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.agent_derivation,agent_assignment_handoff_or_escalation,rey.control_plane_orchestrator,rey.control_plane_orchestrator,court.seshat_evidence,.agents/codex/routing.json,.agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/HANDOFF_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,derivation_capability_chain,assign_agent|declare_reason|declare_scope|handoff_with_evidence,self_approval|secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
capability_use.parallel_dispatch,parallel_lane_subagent_or_issue_work,rey.control_plane_orchestrator,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/codex/matrices/PARALLEL_ISSUE_LANE_QUEUE.csv,.agents/codex/skills/SUBSKILL_USAGE_MATRIX.csv,.agents/codex/recipes/SUBRECIPE_INDEX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/maps/SURFACE_BOUNDARY_MAP.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,parallel_capability_chain,dispatch_disjoint_lane|set_lock_key|set_owner_reviewer,lane_scope_overlap|secrets|execution_without_required_capability_or_binding|high_effect_without_explicit_authorization,operation_requirement_unresolved,ACTIVE_PROPORTIONAL,APPLICABLE_COMPONENTS_ONLY,UNKNOWN_AMBIGUOUS_OR_NEW_ONLY,HIGH_ONLY,OPERATION_RESULT_ONLY,RESOLUTION_REQUIRED_AFFECTED_OPERATION_TIER_PRESERVED
