"review_id","generated_at_utc","source_type","source_registry_id","display_name","issue_class","severity","current_signal","recommended_action","allowed_now","blocked_now","approval_scope","rollback_required","postcheck_required","evidence_source","governance_status","stop_condition"
"entra.review.4bced5096fda","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.b0de99588be3","GPT Enzo","expired_credential_visible","HIGH","expired_credential_present;nearest_end=","confirm_if_orphaned_then_prepare_removal_gate","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","expired_credential_review_only; no credential deletion","if later removed require dependency owner and restore path","dependency owner confirms no breakage or replacement in place","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_delete_attempted"
"entra.review.ca0c91f66264","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.b0de99588be3","GPT Enzo","credential_present","HIGH","password_credential_count=1;expired=1;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.b8734c5cd6fe","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.ada8e0a534a3","Redactor de minutas (Microsoft Copilot Studio)","expired_credential_visible","HIGH","expired_credential_present;nearest_end=","confirm_if_orphaned_then_prepare_removal_gate","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","expired_credential_review_only; no credential deletion","if later removed require dependency owner and restore path","dependency owner confirms no breakage or replacement in place","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_delete_attempted"
"entra.review.8a6b6f8c5d99","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.1fa00da5285c","SGIN_Canon_Deploy_Runtime_20260418","credential_present","HIGH","password_credential_count=2;expired=0;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.a8eac655d7ca","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.b8faf88b1c82","SGIN-Audit-PnP","credential_present","HIGH","password_credential_count=3;expired=0;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.3053a771b977","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.4638b682b7b0","SGIN-Audit-PnP","application_permission_requested","HIGH","required_application_role_count=110;resources=Azure Resource Manager;Connectors;Dataverse;Graph Connector Service;Microsoft Flow Service;Microsoft Graph;Office 365 SharePoint Online;Power Platform API;PowerApps Service;SharePoint Online Client Extensibility Web Application Principal","review_application_permissions_against_business_need","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","permission_review_only; no consent change","if later changed require consent rollback and app dependency postcheck","approved scopes match exact artifact decision","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","permission_mutation_attempted|artifact_approval_missing|business_owner_missing"
"entra.review.a3258b618e7c","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.4638b682b7b0","SGIN-Audit-PnP","credential_present","HIGH","password_credential_count=4;expired=0;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.2b46acd0bf95","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.cc08b3c49be2","SharePoint Online Client Extensibility Web Application Principal","credential_present","HIGH","password_credential_count=1;expired=0;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.fbe74b4c7bc1","2026-06-03T23:43:33.7127027Z","app_registration","entra.app.b5db6b472e73","TGE SDU CN Agent365 Blueprint","credential_present","HIGH","password_credential_count=1;expired=0;expires30d=0","confirm_credential_owner_and_rotation_or_removal_plan","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","credential_review_only; no credential read or change","if later changed require previous credential dependency inventory and recovery owner","credential still not exposed; rotation/removal decision recorded","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","credential_value_exposed|artifact_approval_missing|credential_change_attempted"
"entra.review.11c34a6dba97","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.9ab14e054daa","Acrobat web connector -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Files.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
