"registry_id","generated_at_utc","tenant_domain","tenant_id_hash","grant_hash","client_hash","client_display_name","resource_hash","resource_display_name","principal_hash","consent_type","scope_count","write_scope_count","write_scope_names","scope_names","risk","governance_status","blocked_actions","rollback","stop_condition"
"entra.grant.a3788ec0ff91","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","a3788ec0ff91","58640fef2182","D365 Sales - Configuration Agent (Microsoft Copilot Studio)","484c2433c488","Azure API Connections","","AllPrincipals","1","0","","Runtime.All","LOW_READ_OR_NEUTRAL_SCOPE_ONLY","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.214c0a630ad4","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","214c0a630ad4","d2ea0a3dc367","TGE SDU CN Agent365 Blueprint","74bb62be0a27","Microsoft Graph","","AllPrincipals","8","3","Chat.ReadWrite;Files.ReadWrite.All;Mail.ReadWrite","ChannelMessage.Read.All;ChannelMessage.Send;Chat.ReadWrite;Files.ReadWrite.All;Mail.ReadWrite;Mail.Send;Sites.Read.All;User.Read.All","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.f0e58556f193","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","f0e58556f193","d2ea0a3dc367","TGE SDU CN Agent365 Blueprint","c5b7c0b58844","Work IQ Tools","","AllPrincipals","2","0","","McpServers.SharepointLists.All;McpServersMetadata.Read.All","LOW_READ_OR_NEUTRAL_SCOPE_ONLY","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.934622ae6d8d","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","934622ae6d8d","ffd3ee282f1f","SGIN-Graph-Planner-ReadOnly-Metadata","74bb62be0a27","Microsoft Graph","","AllPrincipals","7","2","Group-Conversation.ReadWrite.All;Tasks.ReadWrite","Group-Conversation.Read.All;Group-Conversation.ReadWrite.All;offline_access;openid;profile;Tasks.Read;Tasks.ReadWrite","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.7b6bb7bdc565","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","7b6bb7bdc565","f5c1665c949f","Microsoft Graph Command Line Tools","74bb62be0a27","Microsoft Graph","","AllPrincipals","20","7","Application.ReadWrite.All;AppRoleAssignment.ReadWrite.All;DelegatedPermissionGrant.ReadWrite.All;Directory.ReadWrite.All;Group.ReadWrite.All;Policy.ReadWrite.ConditionalAccess;Tasks.ReadWrite","Application.Read.All;Application.ReadWrite.All;AppRoleAssignment.ReadWrite.All;DelegatedPermissionGrant.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All;Files.Read.All;Group.Read.All;Group.ReadWrite.All;offline_access;openid;Organization.Read.All;Policy.ReadWrite.ConditionalAccess;profile;Sites.Read.All;Tasks.Read;Tasks.ReadWrite;Team.ReadBasic.All;User.Read;User.Read.All","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.70f62218ce82","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","70f62218ce82","365980577cd4","MSFT Power Platform - Azure AD","74bb62be0a27","Microsoft Graph","","AllPrincipals","3","2","Group.ReadWrite.All;User.ReadWrite.All","Group.ReadWrite.All;offline_access;User.ReadWrite.All","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.daab2fe74aee","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","daab2fe74aee","5d32fc224012","SGIN-Graph-Planner-ReadOnly","74bb62be0a27","Microsoft Graph","","AllPrincipals","3","0","","Group.Read.All;Tasks.Read;User.Read","LOW_READ_OR_NEUTRAL_SCOPE_ONLY","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.1d03c557e483","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","1d03c557e483","47da76c0633e","SDU-CN Seshat Teams Connector Pilot","74bb62be0a27","Microsoft Graph","","AllPrincipals","11","1","Chat.ReadWrite","Channel.ReadBasic.All;ChannelMessage.Send;Chat.Read;Chat.ReadWrite;ChatMessage.Send;offline_access;openid;profile;Team.ReadBasic.All;User.Read;User.ReadBasic.All","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.ebed53b8bef3","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","ebed53b8bef3","1ba3426c89ba","Adobe Acrobat Reader","74bb62be0a27","Microsoft Graph","ceffa4b82cad","Principal","6","1","Files.ReadWrite.All","Files.Read.All;Files.ReadWrite.All;offline_access;openid;profile;User.Read","HIGH_WRITE_CAPABLE_SCOPE_PRESENT","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.grant.8d07d1bbcced","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","8d07d1bbcced","74037235398e","Apple Internet Accounts","74bb62be0a27","Microsoft Graph","","AllPrincipals","3","0","","EAS.AccessAsUser.All;offline_access;openid","LOW_READ_OR_NEUTRAL_SCOPE_ONLY","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","no grant create; no grant delete; no grant update; no consent cleanup; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
