"registry_id","generated_at_utc","tenant_domain","tenant_id_hash","display_name","app_display_name","service_principal_hash","app_id_hash","app_owner_organization_hash","service_principal_type","account_enabled","app_role_assignment_required","sign_in_audience","created_date_utc","disabled_by_microsoft_status","is_disabled","visible_as_app_registration","app_role_count","oauth2_permission_scope_count","resource_specific_application_permission_count","notification_email_count","tag_count","password_credential_count","password_credential_expired_count","password_credential_expires_30d_count","password_credential_nearest_end_utc","key_credential_count","key_credential_expired_count","key_credential_expires_30d_count","key_credential_nearest_end_utc","governance_status","risk_flags","blocked_actions","rollback","stop_condition"
"entra.sp.de8546dc69f5","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","AAD App Management","AAD App Management","de8546dc69f5","0fff0d78aa38","00c332260d9f","Application","True","False","AzureADMultipleOrgs","12/05/2022 15:57:27","","","false","0","0","0","0","0","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.9a19a9e060dc","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","AAD Request Verification Service - PROD","AAD Request Verification Service - PROD","9a19a9e060dc","5aecdef61119","00c332260d9f","Application","True","False","AzureADMultipleOrgs","12/05/2022 15:53:38","","","false","0","0","0","0","0","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.f935295d3fbf","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","AAD Terms Of Use","AAD Terms Of Use","f935295d3fbf","afbeb744384f","00c332260d9f","Application","True","False","AzureADMultipleOrgs","12/05/2022 18:17:26","","","false","0","0","0","0","2","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.b7ce60e17abc","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","AADReporting","AADReporting","b7ce60e17abc","a04518b722f5","00c332260d9f","Application","True","False","AzureADMultipleOrgs","12/05/2022 18:23:25","","","false","0","0","0","0","0","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.1c33b424daea","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Acrobat web connector","Acrobat web connector","1c33b424daea","e08e5f377ecd","46e5a99c6d13","Application","True","False","AzureADandPersonalMicrosoftAccount","08/10/2023 19:42:25","","","false","0","0","0","0","1","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.7643462858f6","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Actas (Microsoft Copilot Studio)","Actas (Microsoft Copilot Studio)","7643462858f6","3fb4ca55f8af","1e508d8cca20","Application","True","False","AzureADMyOrg","11/18/2025 23:31:40","","","true","0","0","0","0","7","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.9dd565e149de","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Adaptive Card Gallery (Microsoft Copilot Studio)","Adaptive Card Gallery (Microsoft Copilot Studio)","9dd565e149de","5e05e8bcceb2","1e508d8cca20","Application","True","False","AzureADMyOrg","12/22/2025 01:19:42","","","true","0","0","0","0","5","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.54dd0fd8c3d3","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Adaptive Card Gallery (Microsoft Copilot Studio)","","54dd0fd8c3d3","54dd0fd8c3d3","","ServiceIdentity","True","False","","12/12/2025 22:35:37","","","false","0","0","0","0","0","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.46682237c271","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Administrador SharePoint Listas (Microsoft Copilot Studio)","","46682237c271","46682237c271","","ServiceIdentity","True","False","","03/08/2026 20:19:03","","","false","0","0","0","0","0","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
"entra.sp.8def16e03a9d","2026-06-03T23:37:28.1064961Z","registronotarial8tdf.com.ar","1e508d8cca20","Adobe Acrobat","Adobe Acrobat","8def16e03a9d","46ad3da96f3a","eeaa7acdc99d","Application","True","False","AzureADMultipleOrgs","08/10/2023 19:47:41","","","false","0","0","0","0","1","0","0","0","","0","0","0","","LIVE_READ_ONLY_INVENTORIED_SANITIZED_CURRENT","","no service principal create; no service principal update; no assignment change; no consent change; no permission mutation","no tenant rollback needed; only delete local sanitized artifact if overbroad","secret_detected|raw_id_persisted|permission_mutation_attempted|tenant_mismatch"
