asset_class,governing_matrix,primary_owner_agent,authority_level,required_recipe,required_tool,evidence,validator,stop_condition
repo,D:\.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv,rey.repo_cartographer,02_REGISTRO_Y_CARTOGRAFIA,recipe.repo_agent_tool_governance,tool.git_status_readonly,repo_governance_readback,tool.local_validate_agent_layer,repo_without_owner_or_universe
agent,D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv,rey.authority_canonist,01_AUTORIDAD_Y_GATES,recipe.repo_agent_tool_governance,tool.local_validate_agent_layer,agent_governance_readback,tool.local_validate_agent_layer,agent_without_authority_or_escalation
tool,D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv,codex.workspace_guardian,05_SOPORTE_TECNICO,recipe.repo_agent_tool_governance,tool.local_validate_agent_layer,tool_governance_readback,tool.local_validate_agent_layer,tool_without_surface_boundary
recipe,D:\.agents\codex\recipes\RECIPE_INDEX.csv,court.openai_dispatcher,03_CORTE_EJECUTORA,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,recipe_sync_readback,tool.local_validate_agent_layer,recipe_without_index_or_owner
skill,D:\.agents\codex\matrices\LOCAL_SKILL_CATALOG.csv,court.thot_schema,03_CORTE_EJECUTORA,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,skill_sync_readback,tool.local_validate_agent_layer,skill_without_catalog_or_assignment
matrix,D:\.agents\codex\matrices\MATRIX_INDEX.csv,rey.governance_registrar,02_REGISTRO_Y_CARTOGRAFIA,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,matrix_sync_readback,tool.local_validate_agent_layer,matrix_without_index
map,D:\.agents\codex\maps\READING_MAP.csv,rey.control_plane_orchestrator,00_ROUTER,recipe.router_intake_classification,tool.local_inventory,map_sync_readback,tool.local_validate_agent_layer,map_without_reader
eval,D:\.agents\codex\evals\AGENT_SUBLEVEL_EVAL_MATRIX.csv,court.thot_schema,03_CORTE_EJECUTORA,recipe.schema_tool_contract,tool.synthetic_eval_manifest,eval_readback,tool.local_validate_agent_layer,eval_without_expected_route
parallel_lane,D:\.agents\codex\matrices\PARALLEL_OPERATION_CRITERIA_MATRIX.csv,rey.control_plane_orchestrator,00_ROUTER,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,parallel_lane_readback,tool.local_validate_parallel_order_governance,parallel_lane_without_validator
order_packet,D:\.agents\codex\matrices\ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,rey.frontier_guardian,01_AUTORIDAD_Y_GATES,recipe.governed_order_preparation,tool.governed_order_packet_builder,order_packet_readback,tool.local_validate_order_packets,order_packet_missing_required_fields
order_class,D:\.agents\codex\matrices\ORDER_CLASS_CAPABILITY_MATRIX.csv,rey.authority_canonist,01_AUTORIDAD_Y_GATES,recipe.governed_order_preparation,tool.governed_order_packet_builder,order_class_readback,tool.local_validate_order_packets,order_packet_missing_required_fields
subagent,D:\.agents\codex\matrices\SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,rey.control_plane_orchestrator,00_ROUTER,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,subagent_readback,tool.local_validate_parallel_order_governance,parallel_lane_without_validator
subskill,D:\.agents\codex\skills\SUBSKILL_USAGE_MATRIX.csv,court.thot_schema,03_CORTE_EJECUTORA,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,subskill_readback,tool.local_validate_agent_layer,skill_without_catalog_or_assignment
subrecipe,D:\.agents\codex\recipes\SUBRECIPE_INDEX.csv,court.openai_dispatcher,03_CORTE_EJECUTORA,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,subrecipe_readback,tool.local_validate_agent_layer,recipe_without_index_or_owner
plugin_skill_boundary,D:\.agents\codex\matrices\PLUGIN_SKILL_BOUNDARY_MATRIX.csv,codex.workspace_guardian,05_SOPORTE_TECNICO,recipe.matrix_recipe_skill_sync,tool.plugin_registry_check,plugin_skill_boundary_readback,tool.local_validate_agent_layer,plugin_without_surface_boundary
source_adoption_gap,D:\.agents\codex\matrices\SOURCE_CAPABILITY_ADOPTION_GAP_MATRIX.csv,tech.reference_librarian,05_SOPORTE_TECNICO,recipe.matrix_recipe_skill_sync,tool.reference_classifier,source_gap_readback,tool.local_validate_agent_layer,source_without_decision_or_gate
