skill_id,current_source,decision,target_path,reason,validator,stop_condition,status
documents:documents,plugin:Documents,ADAPTER_ONLY,NO_APLICA,Plugin/runtime skill stays external; D should govern boundary only,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
spreadsheets:Spreadsheets,plugin:Spreadsheets,ADAPTER_ONLY,NO_APLICA,Plugin/runtime skill stays external; D should govern boundary only,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
presentations:Presentations,plugin:Presentations,ADAPTER_ONLY,NO_APLICA,Plugin/runtime skill stays external; D should govern boundary only,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
pdf,installed_local,ADAPTER_ONLY,NO_APLICA,Installed utility remains external; D should govern document lane,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
agentation,installed_local,EXTERNAL_RUNTIME,NO_APLICA,Frontend helper is optional runtime-specific capability,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,external_runtime_missing,DECIDED
github:github,plugin:GitHub,ADAPTER_ONLY,NO_APLICA,GitHub plugin remains live/runtime capability under D gates,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,github_write_requires_order,DECIDED
github:yeet,plugin:GitHub,ADAPTER_ONLY,NO_APLICA,GitHub publish workflow remains plugin/runtime capability under D gates,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,github_write_requires_order,DECIDED
mcp-builder,installed_local,EXTERNAL_RUNTIME,NO_APLICA,MCP scaffolding remains external runtime unless a D-native MCP lane is opened,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,external_runtime_missing,DECIDED
openai-developers:agents-sdk,plugin:OpenAI Developers,ADAPTER_ONLY,NO_APLICA,OpenAI plugin remains external and live/API gated,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,openai_api_live_requested_without_order,DECIDED
openai-docs,system_local,EXTERNAL_RUNTIME,NO_APLICA,System docs skill remains external reference capability,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,external_runtime_missing,DECIDED
