tool_id,level_id,tool_type,path_or_command,allowed_surface,blocked_surface
tool.boundary_check,01_AUTORIDAD_Y_GATES,read,D:\.agents\codex\maps\SURFACE_BOUNDARY_MAP.csv,local_filesystem,tenant_write
tool.canon_index_check,01_AUTORIDAD_Y_GATES,read,D:/02_AUTHORITY_CANON,local_filesystem,canon_mutation_without_order
tool.codex_workspace_audit,05_SOPORTE_TECNICO,read,D:\.agents\codex,local_filesystem,global_config_write
tool.csv_registry_check,02_REGISTRO_Y_CARTOGRAFIA,read,D:\01_GOVERNANCE_REGISTRY,local_filesystem,file_move
tool.local_validate_document_skill_lane,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_document_skill_lane.ps1,local_filesystem,external_runtime|microsoft_live|openai_api_live|secret_materialization|regulated_data_dump
tool.gh_remote_readonly,02_REGISTRO_Y_CARTOGRAFIA,read,gh repo view|gh api,github_remote_readonly,github_write
tool.github_versioning_flow,02_REGISTRO_Y_CARTOGRAFIA,run,git switch|git add -- explicit paths|git commit|git push|gh pr create --draft|gh pr edit|gh pr comment|gh run list|gh pr merge --match-head-commit,github_repo_scoped_by_order,git_add_dot|merge_without_approved_precheck|force_push|permission_change|production|secrets
tool.git_status_readonly,02_REGISTRO_Y_CARTOGRAFIA,read,git status --short,local_git_readonly,git_write
tool.local_generate_agent_workpapers,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_generate_agent_workpapers.ps1,local_filesystem,external_runtime|live_connector_execution
tool.local_inventory,00_ROUTER,read,D:\.agents\codex,local_filesystem,secrets
tool.local_validate_agent_layer,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_agent_layer.ps1,local_filesystem,external_runtime
tool.local_validate_agent_levels,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_agent_levels.ps1,local_filesystem,external_runtime
tool.local_validate_agent_workpapers,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_agent_workpapers.ps1,local_filesystem,external_runtime
tool.local_validate_parallel_order_governance,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_parallel_order_governance.ps1,local_filesystem,external_runtime|live_execution
tool.local_validate_parallel_issue_queue,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_parallel_issue_queue.ps1,local_filesystem,external_runtime|live_execution|secret_materialization|lane_scope_overlap
tool.local_validate_order_packets,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_order_packets.ps1,local_filesystem,external_runtime|live_execution|secret_materialization
tool.local_validate_skill_reference_sources,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_skill_reference_sources.ps1,local_filesystem,external_runtime|openai_api_live|microsoft_live|secret_materialization|source_reference_treated_as_canon
tool.local_validate_frontend_design_lane,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_frontend_design_lane.ps1,local_filesystem,external_runtime|production|microsoft_live|openai_api_live|secret_materialization
tool.local_validate_all_repo_github_alignment,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_all_repo_github_alignment.ps1,local_filesystem|github_remote_readonly,external_runtime|openai_api_live|microsoft_live|production|permission_change|secret_materialization|force_push|root_repo_absorbing_nested_repos
tool.path_conflict_check,02_REGISTRO_Y_CARTOGRAFIA,read,D:/01_GOVERNANCE_REGISTRY/MIGRATION_MAP_D.csv,local_filesystem,moving_files
tool.parallel_dispatch_policy_check,00_ROUTER,read,D:\.agents\codex\matrices\PARALLEL_OPERATION_CRITERIA_MATRIX.csv,local_filesystem,parallel_scope_overlap|live_execution
tool.plugin_registry_check,05_SOPORTE_TECNICO,read,D:\.agents\codex\matrices\PLUGIN_USAGE_MATRIX.csv,local_filesystem,live_connector_execution
tool.provider_boundary_check,04_TORRES_DE_UNIVERSO,read,D:/01_GOVERNANCE_REGISTRY/GITHUB_BASE_WORK_MATRIX.csv,local_filesystem,provider_control_without_trace
tool.readback_builder,03_CORTE_EJECUTORA,write,D:\.agents\codex\readbacks,local_filesystem,external_record_write
tool.reference_classifier,05_SOPORTE_TECNICO,read,D:\80_REFERENCIAS_TECNICAS,local_filesystem,vendor_live_execution
