target_id,repository,local_path,universe,role,recommendation,status,risk,target_required,allowed_now,blocked_until_gate,stop_condition
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,ROOT_CONTROL_PLANE,origen_rector,INCLUDE_INITIAL,READY_AS_SOURCE,MEDIUM,YES,prepare_local_workpapers,write_or_push_to_repo,no_cross_cabina_write_without_target_matrix
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,ESCRIBANIA,destino_nucleo,INCLUDE_INITIAL,PENDING_TARGET_ONLY,HIGH,YES,prepare_distribution_packet,repo_write_or_live_regulated,no_cross_cabina_write_without_target_matrix
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,COURT,destino_nucleo,INCLUDE_INITIAL,PENDING_TARGET_ONLY,HIGH,YES,prepare_distribution_packet,repo_write_or_live_sdu,no_cross_cabina_write_without_target_matrix
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,MODO_ON,destino_condicional,INCLUDE_IF_MODO_ON_SCOPE,PENDING_TARGET_ONLY,MEDIUM_HIGH,YES,prepare_distribution_packet,microsoft_or_repo_write,no_cross_cabina_write_without_target_matrix
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,ESCRIBANIA,runtime_destino,INCLUDE_INITIAL_RUNTIME,PENDING_TARGET_ONLY,HIGH,YES,prepare_distribution_packet,runtime_write_or_live,no_cross_cabina_write_without_target_matrix
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,COURT,runtime_destino,INCLUDE_INITIAL_RUNTIME,PENDING_TARGET_ONLY,MEDIUM_HIGH,YES,prepare_distribution_packet,runtime_write_or_live,no_cross_cabina_write_without_target_matrix
ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,ROOT_CONTROL_PLANE,indice_registro,INCLUDE_AS_INDEX,PENDING_TARGET_ONLY,MEDIUM,YES,prepare_distribution_packet,repo_write_or_pr,no_cross_cabina_write_without_target_matrix
TCU_CONTROL_PLANE,SeshatSgin/tcu-control-plane,NO_LOCAL_PATH_CONFIRMED,COURT,referencia_fuera_de_base,INCLUDE_AS_REFERENCE_ONLY,PENDING_TARGET_ONLY,MEDIUM_HIGH,YES,reference_in_packet,repo_write_or_live_without_path,no_cross_cabina_write_without_target_matrix
SGIN_CLOUD,SeshatSgin/sgin-cloud,NO_LOCAL_PATH_CONFIRMED,COURT,referencia_cloud,REFERENCE_ONLY,PENDING_TARGET_ONLY,MEDIUM,YES,reference_in_packet,cloud_or_repo_write,no_cross_cabina_write_without_target_matrix
SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,COURT,destino_secundario,POSTPONE_PACKAGE_2,PENDING_TARGET_ONLY,MEDIUM,YES,prepare_later,repo_write,no_cross_cabina_write_without_target_matrix
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,ESCRIBANIA,cumplimiento_regulado,POSTPONE_UNLESS_COMPLIANCE_SCOPE,PENDING_TARGET_ONLY,HIGH,YES,prepare_later,regulated_repo_write,no_cross_cabina_write_without_target_matrix
MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,ESCRIBANIA,laboratorio_microsoft,EXCLUDE_INITIAL_USE_LAB_ONLY,PENDING_TARGET_ONLY,HIGH,YES,prepare_later,microsoft_live_or_agent_lab_write,no_cross_cabina_write_without_target_matrix
JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,MODO_ON,destino_secundario,EXCLUDE_UNLESS_JARA_SCOPE,PENDING_TARGET_ONLY,MEDIUM,YES,prepare_later,repo_write,no_cross_cabina_write_without_target_matrix
SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,COURT,canon_sdu,EXCLUDE_INITIAL_ENVIRONMENT_PENDING,PENDING_ENVIRONMENT_ONLY,MEDIUM_HIGH,YES,resolve_environment_label,canon_write,no_cross_cabina_write_without_target_matrix
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,MODO_ON,foundation,EXCLUDE_INITIAL_ENVIRONMENT_PENDING,PENDING_ENVIRONMENT_ONLY,MEDIUM_HIGH,YES,resolve_environment_label,foundation_write,no_cross_cabina_write_without_target_matrix
