"branch_name","sources","head","latest_date","age_days","contained_in_main","ahead_of_main","behind_main","canonical","duplicate_group_size","duplicate_with"
"codex/aac-direct-mcp-20260608","local|remote_git|remote_github","d3639e3","2026-06-08T06:15:22-03:00","-1","True","0","7","False","1",""
"codex/activate-standard-agent-chain-20260603","remote_git|remote_github","e821f51","2026-06-03T04:02:28-03:00","4","True","0","216","False","1",""
"codex/agent-global-dirty-reconciliation-20260605","local|remote_git|remote_github","e4c3b5e","2026-06-05T17:38:57-03:00","2","False","1","110","False","1",""
"codex/agent-global-gate-packet-microsoft-live-write-20260605","local","6b644a1","2026-06-05T19:44:54-03:00","2","True","0","103","False","2","codex/session-worktree-parking-20260605"
"codex/agent-global-operability-gate-queue-20260605","local|remote_git|remote_github","4e7a3c6","2026-06-05T19:39:45-03:00","2","False","1","104","False","1",""
"codex/agent-global-operability-gated-backlog-20260605","local|remote_git|remote_github","7554818","2026-06-05T19:02:35-03:00","2","False","1","106","False","1",""
"codex/agent-global-operability-next-lane-execution-20260605","local|remote_git|remote_github","b495ad4","2026-06-05T18:53:30-03:00","2","False","1","107","False","1",""
"codex/agent-global-operability-semaphore-matrix-20260605","local|remote_git|remote_github","8df5d2a","2026-06-05T19:26:11-03:00","2","False","2","105","False","1",""
"codex/agent-naming-rationalization-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605"
"codex/agents-global-improvement-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agent-naming-rationalization-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605"
"codex/agents-md-hierarchy-issue-9","remote_git|remote_github","6f31e39","2026-06-01T17:29:05-03:00","6","True","0","308","False","1",""
"codex/agile-canvas-problems-agent-sdk-plan-20260608","local|remote_git|remote_github","04b81f0","2026-06-08T00:00:15-03:00","-1","True","0","13","False","1",""
"codex/agile-canvas-taskops-execution-20260608","local|remote_git|remote_github","2f578b5","2026-06-07T22:56:23-03:00","0","True","0","20","False","1",""
"codex/all-repositories-alignment-20260602","remote_git|remote_github","70903b6","2026-06-02T09:20:14-03:00","5","True","0","290","False","1",""
"codex/automated-merge-governance-20260601","remote_git|remote_github","f67b41d","2026-06-01T19:16:08-03:00","6","True","0","298","False","1",""
"codex/back-reference-runtime-closure-20260603","remote_git|remote_github","63b602f","2026-06-03T12:38:02-03:00","4","True","0","182","False","1",""
"codex/cabina-cloud-agents-sdk-baseline-20260603","remote_git|remote_github","877cc43","2026-06-03T02:08:36-03:00","4","True","0","226","False","1",""
"codex/cabina-full-automation-by-planes-20260605","local|remote_git|remote_github","cffa0ca","2026-06-05T16:53:21-03:00","2","False","2","112","False","1",""
"codex/cabina-full-live-global-canon-20260603","remote_git|remote_github","2a41da6","2026-06-03T02:39:54-03:00","4","True","0","224","False","1",""
"codex/cabina-operating-system-consolidation-20260605","local|remote_git|remote_github","57b14bb","2026-06-05T16:16:48-03:00","2","False","3","113","False","1",""
"codex/cabina-post-merge-baseline-20260605","remote_git|remote_github","68df5ff","2026-06-05T00:23:39-03:00","2","True","0","122","False","1",""
"codex/canon-active-governed-execution-by-default-20260603","remote_git|remote_github","b70ebe1","2026-06-04T15:07:59-03:00","3","True","0","140","False","1",""
"codex/canon-pr22-merge-readback-20260601","remote_git|remote_github","4d8e4dd","2026-06-01T18:56:54-03:00","6","True","0","300","False","1",""
"codex/canon-textual-reconcile-pr78-20260604","remote_git|remote_github","2ceceb0","2026-06-04T13:00:02-03:00","3","True","0","152","False","1",""
"codex/canonize-extended-reconciliation-full-20260603","remote_git|remote_github","189dd1d","2026-06-03T04:51:12-03:00","4","True","0","214","False","1",""
"codex/capability-use-hardening-20260602","remote_git|remote_github","3839086","2026-06-02T16:55:05-03:00","5","True","0","263","False","1",""
"codex/change-aware-full-coverage-orchestrator-20260603","remote_git|remote_github","7b15813","2026-06-02T22:53:02-03:00","5","True","0","238","False","1",""
"codex/cloud-setup-maintenance-tolerant-20260604","remote_git|remote_github","d4d552c","2026-06-04T14:08:35-03:00","3","True","0","150","False","1",""
"codex/codex-cloud-capability-audit-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605"
"codex/codex-cloud-env-assignment-20260602","remote_git|remote_github","2fb1a9c","2026-06-02T20:35:49-03:00","5","True","0","251","False","1",""
"codex/codex-cloud-governed-lane-20260602","remote_git|remote_github","cd366b8","2026-06-02T15:23:31-03:00","5","True","0","269","False","1",""
"codex/codex-cloud-setup-cross-platform-20260603","remote_git|remote_github","44a4e2e","2026-06-03T03:16:18-03:00","4","True","0","222","False","1",""
"codex/codex-environments-20260602","remote_git|remote_github","73645c2","2026-06-02T17:48:54-03:00","5","True","0","258","False","1",""
"codex/d-root-agent-operating-retrospective-20260601","remote_git|remote_github","129cd40","2026-06-01T14:38:44-03:00","6","True","0","322","False","1",""
"codex/d-root-ui-master-prompt-20260601","remote_git|remote_github","319976a","2026-06-01T12:35:12-03:00","6","True","0","334","False","1",""
"codex/d-root-ui-visibility-20260601","remote_git|remote_github","b1987a0","2026-06-01T12:10:20-03:00","6","True","0","336","False","1",""
"codex/d-root-universe-repo-alignment-20260601","remote_git|remote_github","0cd576a","2026-06-01T13:28:19-03:00","6","True","0","327","False","1",""
"codex/dev-dataverse-workqueues-openai-package-20260603","remote_git|remote_github","404ae78","2026-06-03T09:39:23-03:00","4","True","0","202","False","1",""
"codex/dev-runtime-controlled-activation-20260603","remote_git|remote_github","30017f2","2026-06-03T12:00:51-03:00","4","True","0","189","False","1",""
"codex/document-skills-lane-issue-11","remote_git|remote_github","de9d304","2026-06-01T18:15:29-03:00","6","True","0","304","False","1",""
"codex/final-carriles-readback-20260602","remote_git|remote_github","1e2fe58","2026-06-02T11:55:01-03:00","5","True","0","275","False","1",""
"codex/first-skill-recipe-agent-propagation-20260603","remote_git|remote_github","1d1ef10","2026-06-03T13:42:35-03:00","4","True","0","169","False","1",""
"codex/fix-c-root-validator-scalar-lines-20260605","local|remote_git|remote_github","991db98","2026-06-05T04:57:11-03:00","2","True","0","116","False","1",""
"codex/frontend-design-lane-issue-15","remote_git|remote_github","3b439eb","2026-06-01T21:58:11-03:00","6","True","0","294","False","1",""
"codex/full-repo-validation-followups-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/process-manuals-framework-20260605"
"codex/github-live-repo-scoped-lifecycle-20260603","remote_git|remote_github","39160ef","2026-06-03T03:27:26-03:00","4","True","0","220","False","1",""
"codex/github-pr-lifecycle-recipe-20260601","remote_git|remote_github","f9b38aa","2026-06-01T16:40:23-03:00","6","True","0","312","False","1",""
"codex/global-agent-autonomy-cloud-20260602","remote_git|remote_github","a75fbca","2026-06-02T17:20:29-03:00","5","True","0","261","False","1",""
"codex/global-operational-chain-governance-20260601","remote_git|remote_github","4b026db","2026-06-01T15:06:20-03:00","6","True","0","319","False","1",""
