"branch_name","tipo","scope","descripcion","referencia","estado","observaciones"
"codex/aac-direct-mcp-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=d3639e3;date=2026-06-08;ahead=0;behind=7;protected=false"
"codex/activate-standard-agent-chain-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=e821f51;date=2026-06-03;ahead=0;behind=216;protected=false"
"codex/agent-global-dirty-reconciliation-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=e4c3b5e;date=2026-06-05;ahead=1;behind=110;protected=false"
"codex/agent-global-gate-packet-microsoft-live-write-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/session-worktree-parking-20260605;sources=local;head=6b644a1;date=2026-06-05;ahead=0;behind=103"
"codex/agent-global-operability-gate-queue-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4e7a3c6;date=2026-06-05;ahead=1;behind=104;protected=false"
"codex/agent-global-operability-gated-backlog-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=7554818;date=2026-06-05;ahead=1;behind=106;protected=false"
"codex/agent-global-operability-next-lane-execution-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=b495ad4;date=2026-06-05;ahead=1;behind=107;protected=false"
"codex/agent-global-operability-semaphore-matrix-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=8df5d2a;date=2026-06-05;ahead=2;behind=105;protected=false"
"codex/agent-naming-rationalization-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605;sources=local;head=b0e30cb;date=2026-06-05;ahead=0;behind=115"
"codex/agents-global-improvement-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agent-naming-rationalization-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605;sources=local;head=b0e30cb;date=2026-06-05;ahead=0;behind=115"
"codex/agents-md-hierarchy-issue-9","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=6f31e39;date=2026-06-01;ahead=0;behind=308;protected=false"
"codex/agile-canvas-problems-agent-sdk-plan-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=04b81f0;date=2026-06-08;ahead=0;behind=13;protected=false"
"codex/agile-canvas-taskops-execution-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=2f578b5;date=2026-06-07;ahead=0;behind=20;protected=false"
"codex/all-repositories-alignment-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=70903b6;date=2026-06-02;ahead=0;behind=290;protected=false"
"codex/automated-merge-governance-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=f67b41d;date=2026-06-01;ahead=0;behind=298;protected=false"
"codex/back-reference-runtime-closure-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=63b602f;date=2026-06-03;ahead=0;behind=182;protected=false"
"codex/cabina-cloud-agents-sdk-baseline-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=877cc43;date=2026-06-03;ahead=0;behind=226;protected=false"
"codex/cabina-full-automation-by-planes-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=cffa0ca;date=2026-06-05;ahead=2;behind=112;protected=false"
"codex/cabina-full-live-global-canon-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2a41da6;date=2026-06-03;ahead=0;behind=224;protected=false"
"codex/cabina-operating-system-consolidation-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=57b14bb;date=2026-06-05;ahead=3;behind=113;protected=false"
"codex/cabina-post-merge-baseline-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=68df5ff;date=2026-06-05;ahead=0;behind=122;protected=false"
"codex/canon-active-governed-execution-by-default-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b70ebe1;date=2026-06-04;ahead=0;behind=140;protected=false"
"codex/canon-pr22-merge-readback-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4d8e4dd;date=2026-06-01;ahead=0;behind=300;protected=false"
"codex/canon-textual-reconcile-pr78-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2ceceb0;date=2026-06-04;ahead=0;behind=152;protected=false"
"codex/canonize-extended-reconciliation-full-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=189dd1d;date=2026-06-03;ahead=0;behind=214;protected=false"
"codex/capability-use-hardening-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=3839086;date=2026-06-02;ahead=0;behind=263;protected=false"
"codex/change-aware-full-coverage-orchestrator-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=7b15813;date=2026-06-02;ahead=0;behind=238;protected=false"
"codex/cloud-setup-maintenance-tolerant-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=d4d552c;date=2026-06-04;ahead=0;behind=150;protected=false"
"codex/codex-cloud-capability-audit-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/full-repo-validation-followups-20260605|codex/process-manuals-framework-20260605;sources=local;head=b0e30cb;date=2026-06-05;ahead=0;behind=115"
"codex/codex-cloud-env-assignment-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2fb1a9c;date=2026-06-02;ahead=0;behind=251;protected=false"
"codex/codex-cloud-governed-lane-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=cd366b8;date=2026-06-02;ahead=0;behind=269;protected=false"
"codex/codex-cloud-setup-cross-platform-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=44a4e2e;date=2026-06-03;ahead=0;behind=222;protected=false"
"codex/codex-environments-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=73645c2;date=2026-06-02;ahead=0;behind=258;protected=false"
"codex/d-root-agent-operating-retrospective-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=129cd40;date=2026-06-01;ahead=0;behind=322;protected=false"
"codex/d-root-ui-master-prompt-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=319976a;date=2026-06-01;ahead=0;behind=334;protected=false"
"codex/d-root-ui-visibility-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b1987a0;date=2026-06-01;ahead=0;behind=336;protected=false"
"codex/d-root-universe-repo-alignment-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=0cd576a;date=2026-06-01;ahead=0;behind=327;protected=false"
