"branch_original","branch_canonica","referencia","action","outcome","source_commit_count","applied_commit_count","canonical_head","rollback","postcheck","notes"
"codex/version-agents-sdk-live-findings-20260605","codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","ISSUE-RECON-001","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","7","0_clean_cherry_pick;source_head_preserved","7ed596a","git branch -D codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/cabina-operating-system-consolidation-20260605","codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","ISSUE-RECON-002","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","3","0_clean_cherry_pick;source_head_preserved","57b14bb","git branch -D codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=AA .agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv | UU .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md | UU .gitignore | UU 02_AUTHORITY_CANON/CURRENT_STATE.md | UU AGENTS.md | UU MANIFEST.yaml | AA governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/cabina-full-automation-by-planes-20260605","codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","ISSUE-RECON-003","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","2","0_clean_cherry_pick;source_head_preserved","cffa0ca","git branch -D codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | UU .agents/codex/tools/TOOL_INDEX.csv | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/power-platform-teams-governance-alm-20260603","codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","ISSUE-RECON-004","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","e1bf768","git branch -D codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md | M  .agents/codex/maps/RUNTIME_PARALLEL_ACTIVATION.md | UU .agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv | AA .agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv | UU .agents/codex/matrices/LOCAL_SKILL_CATALOG.csv | UU .agents/codex/matrices/MATRIX_INDEX.csv | AA .agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv | A  .agents/codex/matrices/SKILL_INTEGRATION_DECISION_MATRIX_20260603.csv | UU .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | A  .agents/codex/readbacks/2026-06-03_sdu_cn_human_operational_mandate_readback.md | A  .agents/codex/readbacks/2026-06-04_work_dispatch_agents_sdk_activation_readback.md | UU .agents/codex/recipes/RECIPE_INDEX.csv | UU .agents/codex/recipes/recipe.codex_cloud_governed_lane.md | AA .agents/codex/recipes/recipe.d_skill_availability_issue_pr_friction_review.md | AA .agents/codex/recipes/recipe.powershell_runtime_friction_guard.md | UU .agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv | M  .agents/codex/skills/SKILL_USAGE_MATRIX.csv | UU .agents/codex/tools/TOOL_INDEX.csv | AA .agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1 | AA .agents/codex/tools/local_validate_powershell_runtime_friction.ps1 | A  .agents/skills/cabina-document-plugin-adapter/SKILL.md | A  .agents/skills/cabina-github-plugin-adapter/SKILL.md | A  .agents/skills/cabina-sharepoint-plugin-adapter/SKILL.md | A  .agents/skills/cabina-superpowers-methodology-adapter/SKILL.md | A  .agents/skills/cabina-teams-plugin-adapter/SKILL.md | A  .agents/skills/rey-modo-evidencia-riesgo-handoff/SKILL.md | A  .agents/skills/rey-modo-gobernador-capacidades/SKILL.md | A  .agents/skills/sdu-ejecutor-gates/SKILL.md | A  .agents/skills/skill-judge/SKILL.md | A  .agents/skills/tcu-desarrollo-con-subagentes/SKILL.md | A  .agents/skills/tcu-harness-evals-agentes/SKILL.md | A  .agents/skills/tcu-normalizador-sistema-modo-on/SKILL.md | A  .agents/skills/tcu-planificador-con-archivos/SKILL.md | A  .agents/skills/tcu-redactor-planes-operativos/SKILL.md | UU .gitignore | M  02_AUTHORITY_CANON/CURRENT_STATE.md | UU 02_AUTHORITY_CANON/GOVERNED_ORDERS_INDEX.csv | A  02_AUTHORITY_CANON/POLICIES/SDU_CN_HUMAN_OPERATIONAL_MANDATE_POLICY_20260603.md | M  AGENTS.md | A  readbacks/postmerge/READBACK_EXEC_APPLY_OPENAI_SDK_MICROSOFT_PRODUCTION_REVIEW_20260604.md | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/agent-global-dirty-reconciliation-20260605","codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","ISSUE-RECON-005","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","e4c3b5e","git branch -D codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/agent-global-operability-gate-queue-20260605","codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","ISSUE-RECON-006","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","4e7a3c6","git branch -D codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/agent-global-operability-gated-backlog-20260605","codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","ISSUE-RECON-007","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","7554818","git branch -D codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/agent-global-operability-next-lane-execution-20260605","codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","ISSUE-RECON-008","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","b495ad4","git branch -D codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/agent-global-operability-semaphore-matrix-20260605","codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","ISSUE-RECON-009","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","2","0_clean_cherry_pick;source_head_preserved","8df5d2a","git branch -D codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | AA .agents/codex/readbacks/2026-06-05_agent_global_operability_semaphore_matrix_readback.md | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/post-pr-101-next-lane-selection-20260605","codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","ISSUE-RECON-010","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","c7e1854","git branch -D codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
"codex/process-rescue-framework-20260605","codex/gov/process/rescue-framework__ISSUE-RECON-011","ISSUE-RECON-011","MIGRAR_A_CANONICA_FALLBACK_PRESERVAR_VALOR","CANONICAL_ALIAS_CREATED_SOURCE_HEAD_REBASE_PENDING","1","0_clean_cherry_pick;source_head_preserved","4beb992","git branch -D codex/gov/process/rescue-framework__ISSUE-RECON-011","source_head_preserved;clean_cherry_pick_conflict_recorded_in=C:\Users\enzo1\Documents\GitHub\cabina-universal-d\.agents\codex\workpapers\branch_reconciliation_phase1_20260608\PHASE1_CHERRY_PICK_CONFLICTS_20260608.csv","clean_cherry_pick_aborted;requires_rebase_or_manual_conflict_resolution;original_conflict=abort_exit=0;status=UU .agents/codex/matrices/MATRIX_INDEX.csv | UU .gitignore | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/"
