"branch_name","tipo","scope","descripcion","referencia","canonical_branch","source_estado","source_head","source_head_full","merge_base","ahead_of_main","behind_main","unique_commit_count","changed_file_count","duplicate_group_size","sources","pr_trace"
"codex/version-agents-sdk-live-findings-20260605","gov","agents-sdk","live-operability-findings","ISSUE-RECON-001","codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","NO_CONFORME","7ed596a","7ed596a68d6ce393c1156af65d66e69b979b7a36","3d2fc27","7","109","7","14","1","local|remote_git|remote_github","#101:MERGED:Version Agents SDK live operability findings"
"codex/cabina-operating-system-consolidation-20260605","gov","cabina","operating-system-consolidation","ISSUE-RECON-002","codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","NO_CONFORME","57b14bb","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","e9e7af7","3","113","3","11","1","local|remote_git|remote_github","#97:MERGED:docs: consolidate cabina operating system canon"
"codex/cabina-full-automation-by-planes-20260605","feature","cabina","full-automation-planes","ISSUE-RECON-003","codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","NO_CONFORME","cffa0ca","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","3b2c42d","2","112","2","12","1","local|remote_git|remote_github","#98:MERGED:feat: add cabina automation plane matrix"
"codex/power-platform-teams-governance-alm-20260603","gov","cabina","agent-dispatch-skill-adapters","ISSUE-RECON-004","codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","NO_CONFORME","e1bf768","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","57b4e99","1","161","1","41","1","remote_git|remote_github","#81:CLOSED:Govern cabina agent dispatch and skill adapters | #74:MERGED:Power Platform / Teams ALM Governance Provisioning"
"codex/agent-global-dirty-reconciliation-20260605","gov","agents","global-operability-reconciliation","ISSUE-RECON-005","codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","NO_CONFORME","e4c3b5e","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","8acd9e0","1","110","1","7","1","local|remote_git|remote_github","#100:MERGED:Reconcile global agent operability lane"
"codex/agent-global-operability-gate-queue-20260605","hardening","agents","global-operability-gate-queue","ISSUE-RECON-006","codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","NO_CONFORME","4e7a3c6","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","1cd6cd1","1","104","1","6","1","local|remote_git|remote_github","#106:MERGED:Prepare agent operability gate queue"
"codex/agent-global-operability-gated-backlog-20260605","gov","agents","global-operability-gated-backlog","ISSUE-RECON-007","codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","NO_CONFORME","7554818","7554818fe854a866858c509a80dc362cc1b81fc7","ee6e5f8","1","106","1","5","1","local|remote_git|remote_github","#104:MERGED:Route agent operability gated backlog"
"codex/agent-global-operability-next-lane-execution-20260605","feature","agents","global-operability-next-lane","ISSUE-RECON-008","codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","NO_CONFORME","b495ad4","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","36535ac","1","107","1","4","1","local|remote_git|remote_github","#103:MERGED:Execute agent global operability next lane"
"codex/agent-global-operability-semaphore-matrix-20260605","hardening","agents","global-operability-semaphore","ISSUE-RECON-009","codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","NO_CONFORME","8df5d2a","8df5d2af95ee10084936b8c4429cfc795714ab53","32de5fe","2","105","2","12","1","local|remote_git|remote_github","#105:MERGED:Add agent operability semaphore matrix"
"codex/post-pr-101-next-lane-selection-20260605","gov","cabina","post-pr101-next-lane-selection","ISSUE-RECON-010","codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","NO_CONFORME","c7e1854","c7e185423a04879596011543b0bd929bb1441fcb","f203da1","1","108","1","2","1","local|remote_git|remote_github","#102:MERGED:Record post PR101 next lane selection"
"codex/process-rescue-framework-20260605","gov","process","rescue-framework","ISSUE-RECON-011","codex/gov/process/rescue-framework__ISSUE-RECON-011","NO_CONFORME","4beb992","4beb992036c365025cc2c5c62c9790bee51326da","159c568","1","111","1","7","1","local|remote_git|remote_github","#99:MERGED:Formalize multi-repo process rescue framework"
