"branch","diff_check","output"
"codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","PASS",""
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","PASS",""
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","PASS",""
"codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","PASS",""
"codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","PASS",""
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","PASS",""
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","PASS",""
"codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","PASS",""
"codex/gov/process/rescue-framework__ISSUE-RECON-011","PASS",""
"codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","PASS",""
"codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","PASS",""
