"branch_canonica","referencia","source_branch","old_head","old_head_full","new_head","commit_created","integrated_file_count","derived_workpaper_count","estado","rollback","postcheck"
"codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","ISSUE-RECON-008","codex/agent-global-operability-next-lane-execution-20260605","b495ad4","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008 b495ad4d6056c7167318ca5e91b0c6df8c8690a3","git diff --check main..codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","ISSUE-RECON-003","codex/cabina-full-automation-by-planes-20260605","cffa0ca","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/feature/cabina/full-automation-planes__ISSUE-RECON-003 cffa0ca44723c4dc2aead2bec319b6a5b333aacf","git diff --check main..codex/feature/cabina/full-automation-planes__ISSUE-RECON-003"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","ISSUE-RECON-001","codex/version-agents-sdk-live-findings-20260605","7ed596a","7ed596a68d6ce393c1156af65d66e69b979b7a36","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001 7ed596a68d6ce393c1156af65d66e69b979b7a36","git diff --check main..codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001"
"codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","ISSUE-RECON-007","codex/agent-global-operability-gated-backlog-20260605","7554818","7554818fe854a866858c509a80dc362cc1b81fc7","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007 7554818fe854a866858c509a80dc362cc1b81fc7","git diff --check main..codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007"
"codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","ISSUE-RECON-005","codex/agent-global-dirty-reconciliation-20260605","e4c3b5e","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005 e4c3b5e8d01f7bf7440679a2332e467bc04d9645","git diff --check main..codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","ISSUE-RECON-004","codex/power-platform-teams-governance-alm-20260603","e1bf768","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","6900454","true","27","6","READY_FOR_PR_WITH_NORMATIVE_NOTE","git branch -f codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004 e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","branch_validators_pass"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","ISSUE-RECON-002","codex/cabina-operating-system-consolidation-20260605","57b14bb","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","3ce2129","false","0","1","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002 57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","git diff --check main..codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002"
"codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","ISSUE-RECON-010","codex/post-pr-101-next-lane-selection-20260605","c7e1854","c7e185423a04879596011543b0bd929bb1441fcb","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010 c7e185423a04879596011543b0bd929bb1441fcb","git diff --check main..codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010"
"codex/gov/process/rescue-framework__ISSUE-RECON-011","ISSUE-RECON-011","codex/process-rescue-framework-20260605","4beb992","4beb992036c365025cc2c5c62c9790bee51326da","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/gov/process/rescue-framework__ISSUE-RECON-011 4beb992036c365025cc2c5c62c9790bee51326da","git diff --check main..codex/gov/process/rescue-framework__ISSUE-RECON-011"
"codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","ISSUE-RECON-006","codex/agent-global-operability-gate-queue-20260605","4e7a3c6","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","3ce2129","false","0","0","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006 4e7a3c659f68af2345cb03219b179e5e6cd04c4d","git diff --check main..codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006"
"codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","ISSUE-RECON-009","codex/agent-global-operability-semaphore-matrix-20260605","8df5d2a","8df5d2af95ee10084936b8c4429cfc795714ab53","3ce2129","false","0","1","DERIVED_TO_WORKPAPER_ONLY","git branch -f codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009 8df5d2af95ee10084936b8c4429cfc795714ab53","git diff --check main..codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009"
