"source","use","status"
"AGENTS.md","instruccion rectora, fronteras, estado PR132 textual, gates","READ"
"MANIFEST.yaml","manifest root, repos relacionados, estado live governed","READ"
"02_AUTHORITY_CANON/CURRENT_STATE.md","canon textual, VSI/AAC, PR132","READ"
"01_GOVERNANCE_REGISTRY/REPOSITORIES.csv","13 repos relacionados","READ"
".agents/codex/matrices/REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","owner por repo","READ"
".agents/codex/matrices/AGENT_GOVERNANCE_MATRIX.csv","roles de agentes","READ"
".agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv","tools declaradas y superficies","READ"
".agents/codex/maps/SURFACE_BOUNDARY_MAP.csv","fronteras local/git/github/live","READ"
".agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv","carriles paralelos","READ"
".agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv","gates por clase de orden","READ"
".agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv","cadena agente estandar","READ"
".agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv","gates live","READ"
".agents/codex/matrices/AAC_NATIVE_AGENTS_20260608.csv","agentes nativos AAC","READ"
".agents/codex/matrices/AAC_NATIVE_AGENT_USE_FOR_VSI_20260608.csv","uso nativo AAC en VSI","READ"
".agents/codex/matrices/CABINA_GOVERNANCE_AGENTS_FOR_VSI_20260608.csv","agentes Cabina sobre VSI","READ"
".agents/codex/matrices/AGENT_SURFACE_DEPLOYMENT_TABLE_20260606.csv","superficies y lanes","READ"
".agents/codex/matrices/MICROSOFT_NEXT_LANE_EXECUTION_MATRIX_20260602.csv","carriles Microsoft gateados","READ"
".agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv","Codex Cloud governed lane","READ"
".agents/codex/workpapers/production_tenant_activation_20260608","preflight productivo PENDING_TARGET_ONLY","READ"
".agents/codex/workpapers/remote_branch_closeout_20260608","closeout remoto previo y rollback","READ"
"gh pr list --repo universo-rey/cabina-universal-d --state open","PRs abiertos root","READ_EMPTY_0_OPEN"
"git status/rev-parse por 13 repos","perfil local repos relacionados","READ"
