"repo_id","repository_full_name","target_path","exists","git_root","branch","head","status","remote","has_agents_md","has_manifest","matrix_csv_count","readback_count","registry_status","notes"
"D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","C:/Users/enzo1/Documents/GitHub/cabina-universal-d","True","C:/Users/enzo1/Documents/GitHub/cabina-universal-d","main","9651568","## main...origin/main | ?? .agents/codex/workpapers/branch_inventory_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase1_20260608/ | ?? .agents/codex/workpapers/branch_reconciliation_phase2_20260608/ | ?? .agents/codex/workpapers/production_tenant_activation_20260608/ | ?? .agents/codex/workpapers/remote_branch_closeout_20260608/","origin	https://github.com/universo-rey/cabina-universal-d.git (fetch)","True","True","131","82","ACTIVE_ROOT_WRAPPER_REPO","Repo raiz envoltorio de cabina; base transversal e indice de repos; no absorbe repos anidados"
"TORRE_GEMELA_ESCRIBANIA","SeshatSgin/torre-gemela-escribania","C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania","True","C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania","codex/tge-issue-71-03f-live-system-formalization-20260605","90bda64","## codex/tge-issue-71-03f-live-system-formalization-20260605...origin/codex/tge-issue-71-03f-live-system-formalization-20260605 | ?? 08_READBACKS/READBACK_TGE_CANON_REVIEW_20260605_DRAFT.md","origin	https://github.com/SeshatSgin/torre-gemela-escribania.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED_CLEAN_VERIFIED_20260601","TGE pertenece a Escribania; copia activa en D; estado Git local limpio verificado 2026-06-01"
"TGE_AGENTIC_RUNTIME","SeshatSgin/tge-agentic-runtime-control-escribania","C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania","True","C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania","main","fe0e456","## main...origin/main","origin	https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","runtime contextual Escribania migrado a D; rama activa codex/tge-court-order-adapter-alignment-20260601; fuente local preservada"
"SGIN_CUMPLIMIENTO","SeshatSgin/sgin-cumplimiento","C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento","True","C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento","main","443dd4b","## main...origin/main","origin	https://github.com/SeshatSgin/sgin-cumplimiento.git (fetch)","False","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","cumplimiento Escribania; copia activa en D"
"CDF_SOLUCIONES","SeshatSgin/cdf-soluciones","C:/Users/enzo1/Documents/GitHub/cdf-soluciones","True","C:/Users/enzo1/Documents/GitHub/cdf-soluciones","main","211a2de","## main...origin/main","origin	https://github.com/SeshatSgin/cdf-soluciones.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED_CLEAN_VERIFIED_20260601","CDF pertenece a Modo ON; fuente local preservada; estado Git local limpio verificado 2026-06-01"
"JARA_CONSULTORES","SeshatSgin/jara-consultores","C:/Users/enzo1/Documents/GitHub/jara-consultores","True","C:/Users/enzo1/Documents/GitHub/jara-consultores","main","96733d7","## main...origin/main","origin	https://github.com/SeshatSgin/jara-consultores.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","Jara pertenece a Modo ON; copia activa en D"
"MODO_ON_FOUNDATION","SeshatSgin/modo-on-foundation","C:/Users/enzo1/Documents/GitHub/modo-on-foundation","True","C:/Users/enzo1/Documents/GitHub/modo-on-foundation","main","ad34af7","## main...origin/main","origin	https://github.com/SeshatSgin/modo-on-foundation.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","foundation Modo ON; copia activa en D"
"SDU_CANON","SeshatSgin/sdu-canon","C:/Users/enzo1/Documents/GitHub/sdu-canon","True","C:/Users/enzo1/Documents/GitHub/sdu-canon","main","79f4c7b","## main...origin/main","origin	https://github.com/SeshatSgin/sdu-canon.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","SDU pertenece a Corte; copia activa en D"
"SESHAT_BOOTSTRAP","SeshatSgin/seshat-bootstrap-sdu-cn","C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn","True","C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn","codex/sdu-cn-actas-documentales-20260605","5aa81e4","## codex/sdu-cn-actas-documentales-20260605 | ?? audit/ACTA_APERTURA_DOCUMENTAL_SDU_CN_20260605_DRAFT.md","origin	https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git (fetch)","True","False","0","0","ACTIVE_REMOTE_CLONE_NO_LOCAL_SOURCE","Seshat pertenece a Corte; clon remoto read-only en D por fuente local ausente"
"SGIN","universo-rey/Sgin","C:/Users/enzo1/Documents/GitHub/Sgin","True","C:/Users/enzo1/Documents/GitHub/Sgin","main","cfb494b","## main...origin/main","origin	https://github.com/universo-rey/Sgin.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","Seshat SGIN; copia activa en D"
"TCU_AGENTIC_RUNTIME","SeshatSgin/tcu-agentic-runtime-control","C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control","True","C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control","main","608c371","## main...origin/main","origin	https://github.com/SeshatSgin/tcu-agentic-runtime-control.git (fetch)","True","False","0","0","ACTIVE_LOCAL_COPY_SOURCE_PRESERVED","runtime control rector TCU migrado a D; fuente local preservada"
"ORGANIZACION","universo-rey/organizacion","C:/Users/enzo1/Documents/GitHub/organizacion","True","C:/Users/enzo1/Documents/GitHub/organizacion","codex/service-design-documental-20260605","9a8a025","## codex/service-design-documental-20260605 |  M MANIFEST.sha256 | ?? docs/service-design/","origin	https://github.com/universo-rey/organizacion.git (fetch)","True","False","0","0","ACTIVE_PROJECT_FOLDER_REMOTE_ASSOCIATED_SOURCE_PRESERVED","ControlPlane Operativo v3 de universo-rey; carpeta de proyecto asociada a remoto; fuente local preservada como rollback"
