"branch_remote","clasificacion_fuente","sha_actual","sha_esperado","coincide_sha","pr_abierto_asociado","pr_info","protected","elegible_cierre","motivo_si_no","evidencia_fuente","evidencia_detalle"
"codex/agent-global-dirty-reconciliation-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","e4c3b5e","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-005"
"codex/agent-global-gate-packet-microsoft-live-write-20260605","DUPLICADA_CERRABLE","","6b644a1","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=2;same_head=6b644a1;all_contained_in_main=True"
"codex/agent-global-operability-gate-queue-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","4e7a3c6","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-006"
"codex/agent-global-operability-gated-backlog-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","7554818fe854a866858c509a80dc362cc1b81fc7","7554818","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-007"
"codex/agent-global-operability-next-lane-execution-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","b495ad4","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-008"
"codex/agent-global-operability-semaphore-matrix-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","8df5d2af95ee10084936b8c4429cfc795714ab53","8df5d2a","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-009"
"codex/agent-naming-rationalization-20260605","DUPLICADA_CERRABLE","","b0e30cb","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=5;same_head=b0e30cb;all_contained_in_main=True"
"codex/agents-global-improvement-20260605","DUPLICADA_CERRABLE","","b0e30cb","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=5;same_head=b0e30cb;all_contained_in_main=True"
"codex/cabina-full-automation-by-planes-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","cffa0ca","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/feature/cabina/full-automation-planes__ISSUE-RECON-003;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-003"
"codex/cabina-operating-system-consolidation-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","57b14bb","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-002"
"codex/codex-cloud-capability-audit-20260605","DUPLICADA_CERRABLE","","b0e30cb","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=5;same_head=b0e30cb;all_contained_in_main=True"
"codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=b495ad4;new=3ce2129"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=cffa0ca;new=3ce2129"
"codex/full-repo-validation-followups-20260605","DUPLICADA_CERRABLE","","b0e30cb","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=5;same_head=b0e30cb;all_contained_in_main=True"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=7ed596a;new=3ce2129"
"codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=7554818;new=3ce2129"
"codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=e4c3b5e;new=3ce2129"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=57b14bb;new=3ce2129"
"codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=c7e1854;new=3ce2129"
"codex/gov/process/rescue-framework__ISSUE-RECON-011","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=4beb992;new=3ce2129"
"codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=4e7a3c6;new=3ce2129"
"codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","DERIVED_TO_WORKPAPER_ONLY","","3ce2129","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE2_BRANCH_STATUS_MATRIX","estado=DERIVED_TO_WORKPAPER_ONLY;old=8df5d2a;new=3ce2129"
"codex/post-pr-101-next-lane-selection-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","c7e185423a04879596011543b0bd929bb1441fcb","c7e1854","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-010"
"codex/power-platform-teams-governance-alm-20260603","SUBSTITUTED_BY_PR_138","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","e1bf768","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-004"
"codex/process-manuals-framework-20260605","DUPLICADA_CERRABLE","","b0e30cb","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=5;same_head=b0e30cb;all_contained_in_main=True"
"codex/process-rescue-framework-20260605","SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","4beb992036c365025cc2c5c62c9790bee51326da","4beb992","SI","NO","","NO","SI","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","PHASE1_BRANCH_DECISION_MATRIX","canonical=codex/gov/process/rescue-framework__ISSUE-RECON-011;action=MIGRAR_A_CANONICA;ref=ISSUE-RECON-011"
"codex/session-worktree-parking-20260605","DUPLICADA_CERRABLE","","6b644a1","NO_REMOTE","NO","","NO","NO","REMOTE_BRANCH_NOT_FOUND","PHASE1_DUPLICATE_COLLAPSE_MATRIX","same_sha_group_size=2;same_head=6b644a1;all_contained_in_main=True"
