"branch_remote","old_sha","delete_started_at","delete_ended_at","exit_code","delete_result","output_sanitized"
"codex/agent-global-dirty-reconciliation-20260605","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","2026-06-08T07:45:01.6629735-03:00","2026-06-08T07:45:04.8203951-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/agent-global-dirty-reconciliation-20260605"
"codex/agent-global-operability-gate-queue-20260605","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","2026-06-08T07:45:04.8723100-03:00","2026-06-08T07:45:08.6833715-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/agent-global-operability-gate-queue-20260605"
"codex/agent-global-operability-gated-backlog-20260605","7554818fe854a866858c509a80dc362cc1b81fc7","2026-06-08T07:45:08.6853401-03:00","2026-06-08T07:45:11.6737246-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/agent-global-operability-gated-backlog-20260605"
"codex/agent-global-operability-next-lane-execution-20260605","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","2026-06-08T07:45:11.6748854-03:00","2026-06-08T07:45:14.6844712-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/agent-global-operability-next-lane-execution-20260605"
"codex/agent-global-operability-semaphore-matrix-20260605","8df5d2af95ee10084936b8c4429cfc795714ab53","2026-06-08T07:45:14.6852561-03:00","2026-06-08T07:45:17.4766064-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/agent-global-operability-semaphore-matrix-20260605"
"codex/cabina-full-automation-by-planes-20260605","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","2026-06-08T07:45:17.4779695-03:00","2026-06-08T07:45:20.1864681-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/cabina-full-automation-by-planes-20260605"
"codex/cabina-operating-system-consolidation-20260605","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","2026-06-08T07:45:20.1870433-03:00","2026-06-08T07:45:22.9890727-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/cabina-operating-system-consolidation-20260605"
"codex/post-pr-101-next-lane-selection-20260605","c7e185423a04879596011543b0bd929bb1441fcb","2026-06-08T07:45:22.9897017-03:00","2026-06-08T07:45:25.6451362-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/post-pr-101-next-lane-selection-20260605"
"codex/power-platform-teams-governance-alm-20260603","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","2026-06-08T07:45:25.6458630-03:00","2026-06-08T07:45:28.1006025-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/power-platform-teams-governance-alm-20260603"
"codex/process-rescue-framework-20260605","4beb992036c365025cc2c5c62c9790bee51326da","2026-06-08T07:45:28.1010296-03:00","2026-06-08T07:45:30.9373069-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/process-rescue-framework-20260605"
"codex/version-agents-sdk-live-findings-20260605","7ed596a68d6ce393c1156af65d66e69b979b7a36","2026-06-08T07:45:30.9380798-03:00","2026-06-08T07:45:33.2921909-03:00","0","DELETED","To https://github.com/universo-rey/cabina-universal-d.git |  - [deleted]         codex/version-agents-sdk-live-findings-20260605"
