"branch_remote","accion_planeada","fundamento","sha_actual","evidencia_fuente","rollback_logico","aprobada_para_ejecucion"
"codex/agent-global-dirty-reconciliation-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin e4c3b5e8d01f7bf7440679a2332e467bc04d9645:refs/heads/codex/agent-global-dirty-reconciliation-20260605","SI"
"codex/agent-global-gate-packet-microsoft-live-write-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
"codex/agent-global-operability-gate-queue-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin 4e7a3c659f68af2345cb03219b179e5e6cd04c4d:refs/heads/codex/agent-global-operability-gate-queue-20260605","SI"
"codex/agent-global-operability-gated-backlog-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","7554818fe854a866858c509a80dc362cc1b81fc7","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin 7554818fe854a866858c509a80dc362cc1b81fc7:refs/heads/codex/agent-global-operability-gated-backlog-20260605","SI"
"codex/agent-global-operability-next-lane-execution-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin b495ad4d6056c7167318ca5e91b0c6df8c8690a3:refs/heads/codex/agent-global-operability-next-lane-execution-20260605","SI"
"codex/agent-global-operability-semaphore-matrix-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","8df5d2af95ee10084936b8c4429cfc795714ab53","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin 8df5d2af95ee10084936b8c4429cfc795714ab53:refs/heads/codex/agent-global-operability-semaphore-matrix-20260605","SI"
"codex/agent-naming-rationalization-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
"codex/agents-global-improvement-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
"codex/cabina-full-automation-by-planes-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin cffa0ca44723c4dc2aead2bec319b6a5b333aacf:refs/heads/codex/cabina-full-automation-by-planes-20260605","SI"
"codex/cabina-operating-system-consolidation-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin 57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c:refs/heads/codex/cabina-operating-system-consolidation-20260605","SI"
"codex/codex-cloud-capability-audit-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
"codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/full-repo-validation-followups-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/gov/process/rescue-framework__ISSUE-RECON-011","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE2_BRANCH_STATUS_MATRIX:DERIVED_TO_WORKPAPER_ONLY","NO_APLICA","NO"
"codex/post-pr-101-next-lane-selection-20260605","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","c7e185423a04879596011543b0bd929bb1441fcb","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_CANONICAL_DERIVED_WORKPAPER","git push origin c7e185423a04879596011543b0bd929bb1441fcb:refs/heads/codex/post-pr-101-next-lane-selection-20260605","SI"
"codex/power-platform-teams-governance-alm-20260603","DELETE_REMOTE_BRANCH","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","PHASE1_BRANCH_DECISION_MATRIX:SUBSTITUTED_BY_PR_138","git push origin e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a:refs/heads/codex/power-platform-teams-governance-alm-20260603","SI"
"codex/process-manuals-framework-20260605","NO_ACTION_HOLD","REMOTE_BRANCH_NOT_FOUND","","PHASE1_DUPLICATE_COLLAPSE_MATRIX:DUPLICADA_CERRABLE","NO_APLICA","NO"
