"branch_remote","expected_action","approved_for_execution","old_sha","current_remote_sha","remote_present_after","delete_result","open_pr_after","postcheck_status","observation"
"codex/agent-global-dirty-reconciliation-20260605","DELETE","SI","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/agent-global-gate-packet-microsoft-live-write-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/agent-global-operability-gate-queue-20260605","DELETE","SI","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/agent-global-operability-gated-backlog-20260605","DELETE","SI","7554818fe854a866858c509a80dc362cc1b81fc7","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/agent-global-operability-next-lane-execution-20260605","DELETE","SI","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/agent-global-operability-semaphore-matrix-20260605","DELETE","SI","8df5d2af95ee10084936b8c4429cfc795714ab53","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/agent-naming-rationalization-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/agents-global-improvement-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/cabina-full-automation-by-planes-20260605","DELETE","SI","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/cabina-operating-system-consolidation-20260605","DELETE","SI","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/codex-cloud-capability-audit-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/full-repo-validation-followups-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
