"branch_remote","old_sha","rollback_command_sugerido","gate_requerido_para_restore","postcheck_sugerido"
"codex/agent-global-dirty-reconciliation-20260605","e4c3b5e8d01f7bf7440679a2332e467bc04d9645","git push origin e4c3b5e8d01f7bf7440679a2332e467bc04d9645:refs/heads/codex/agent-global-dirty-reconciliation-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/agent-global-dirty-reconciliation-20260605"
"codex/agent-global-operability-gate-queue-20260605","4e7a3c659f68af2345cb03219b179e5e6cd04c4d","git push origin 4e7a3c659f68af2345cb03219b179e5e6cd04c4d:refs/heads/codex/agent-global-operability-gate-queue-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/agent-global-operability-gate-queue-20260605"
"codex/agent-global-operability-gated-backlog-20260605","7554818fe854a866858c509a80dc362cc1b81fc7","git push origin 7554818fe854a866858c509a80dc362cc1b81fc7:refs/heads/codex/agent-global-operability-gated-backlog-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/agent-global-operability-gated-backlog-20260605"
"codex/agent-global-operability-next-lane-execution-20260605","b495ad4d6056c7167318ca5e91b0c6df8c8690a3","git push origin b495ad4d6056c7167318ca5e91b0c6df8c8690a3:refs/heads/codex/agent-global-operability-next-lane-execution-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/agent-global-operability-next-lane-execution-20260605"
"codex/agent-global-operability-semaphore-matrix-20260605","8df5d2af95ee10084936b8c4429cfc795714ab53","git push origin 8df5d2af95ee10084936b8c4429cfc795714ab53:refs/heads/codex/agent-global-operability-semaphore-matrix-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/agent-global-operability-semaphore-matrix-20260605"
"codex/cabina-full-automation-by-planes-20260605","cffa0ca44723c4dc2aead2bec319b6a5b333aacf","git push origin cffa0ca44723c4dc2aead2bec319b6a5b333aacf:refs/heads/codex/cabina-full-automation-by-planes-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/cabina-full-automation-by-planes-20260605"
"codex/cabina-operating-system-consolidation-20260605","57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c","git push origin 57b14bb92f5c1d9004c8b8c3ad7bbbba1e8cce8c:refs/heads/codex/cabina-operating-system-consolidation-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/cabina-operating-system-consolidation-20260605"
"codex/post-pr-101-next-lane-selection-20260605","c7e185423a04879596011543b0bd929bb1441fcb","git push origin c7e185423a04879596011543b0bd929bb1441fcb:refs/heads/codex/post-pr-101-next-lane-selection-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/post-pr-101-next-lane-selection-20260605"
"codex/power-platform-teams-governance-alm-20260603","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","git push origin e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a:refs/heads/codex/power-platform-teams-governance-alm-20260603","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/power-platform-teams-governance-alm-20260603"
"codex/process-rescue-framework-20260605","4beb992036c365025cc2c5c62c9790bee51326da","git push origin 4beb992036c365025cc2c5c62c9790bee51326da:refs/heads/codex/process-rescue-framework-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/process-rescue-framework-20260605"
"codex/version-agents-sdk-live-findings-20260605","7ed596a68d6ce393c1156af65d66e69b979b7a36","git push origin 7ed596a68d6ce393c1156af65d66e69b979b7a36:refs/heads/codex/version-agents-sdk-live-findings-20260605","GATE_REMOTE_GIT_MUTATION","git ls-remote --heads origin codex/version-agents-sdk-live-findings-20260605"
