item_id,source_path,target_path,status,precheck_required,rollback_required,notes
TORRE_GEMELA_ESCRIBANIA,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED_DIRTY_STATE_COPIED,completed,source_preserved,TGE Escribania; copia activa en D; fuente preservada con dirty state original copiado
TGE_AGENTIC_RUNTIME,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,runtime contextual Escribania; copia activa en D; origen preservado para rollback
CDF_SOLUCIONES,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED_DIRTY_STATE_COPIED,completed,source_preserved,Modo ON CDF; copia activa en D; fuente preservada con dirty state original copiado
JARA_CONSULTORES,C:/Users/enzo1/Documents/GitHub/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,Modo ON Jara; copia activa en D; fuente preservada para rollback
SDU_CANON,C:/Users/enzo1/Documents/GitHub/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,Corte SDU; copia activa en D; fuente preservada para rollback
SESHAT_BOOTSTRAP,REMOTE:https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,MIGRATED_REMOTE_CLONE_NO_LOCAL_SOURCE,completed,remote_clone,Corte Seshat bootstrap; fuente local no detectada; clon remoto read-only hacia D
SGIN,C:/Users/enzo1/Documents/GitHub/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,Corte SGIN; copia activa en D; fuente preservada para rollback
MODO_ON_FOUNDATION,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,Modo ON foundation; copia activa en D; fuente preservada para rollback
TCU_AGENTIC_RUNTIME,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,runtime control rector TCU; copia activa en D; origen preservado para rollback
ORGANIZACION,C:/Users/enzo1/Documents/GitHub/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,MIGRATED_ACTIVE_PROJECT_REMOTE_ASSOCIATED_SOURCE_PRESERVED,completed,source_preserved,ControlPlane raiz universo-rey; copia activa en D asociada a remoto universo-rey/organizacion; origen preservado para rollback
SGIN_CUMPLIMIENTO,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,MIGRATED_LOCAL_COPY_SOURCE_PRESERVED,completed,source_preserved,cumplimiento Escribania; copia activa en D; fuente preservada para rollback
