repo,universe,canonical_agent_id,domain,applies,repo_role,operational_mapping,evidence,validator,rollback,postcheck,stop_condition,status
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,seshat-normativa,documentary_governance_evidence_metadata,true,root_evidence,court.seshat_evidence,02_AUTHORITY_CANON/SDU_CN_CANONICAL_AGENT_PANTHEON_20260604.md,scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py,revert_root_canon_files,rerun_validators,canonical_agent_missing,ACTIVE_CANONICAL
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,thot-tecnico,content_types_metadata_taxonomy_tools_events,true,root_schema,court.thot_schema,02_AUTHORITY_CANON/SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv,scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py,revert_root_canon_files,rerun_validators,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,anubis-gate,gates_stop_conditions_rollback_postcheck,true,root_gate,rey.frontier_guardian,02_AUTHORITY_CANON/SDU_CN_MULTI_UNIVERSE_OPERATING_MODEL_20260604.md,scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py,revert_root_canon_files,rerun_validators,microsoft_live_without_target,ACTIVE_CANONICAL
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,true,root_compliance,court.sdu_gate,02_AUTHORITY_CANON/FOCUS_5_REPOS_CHAIN_OF_COMMAND_MATRIX_20260604.csv,scripts/validators/focus_5_repo_contracts_validator.py,revert_root_canon_files,rerun_validators,chain_of_command_missing,ACTIVE_CANONICAL
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,true,root_risk,rey.frontier_guardian,readbacks/versioning/READBACK_SDU_CN_CANONICAL_AGENTS_MULTI_REPO_MULTI_UNIVERSE_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,revert_root_canon_files,rerun_validators,openai_treated_as_authority_source,ACTIVE_CANONICAL
universo-rey/cabina-universal-d,ESCRIBANIA|MODO_ON,narrador-normativo,documentary_narrative_after_approved_evidence,true,root_narrative,court.seshat_evidence,readbacks/versioning/READBACK_SDU_CN_CANONICAL_AGENTS_MULTI_REPO_MULTI_UNIVERSE_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,revert_root_canon_files,rerun_validators,evidence_not_approved,ACTIVE_CANONICAL
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,seshat-normativa,documentary_governance_evidence_metadata,true,tge_evidence,universe.escribania_tower|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,secret_detected,ACTIVE_CANONICAL
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,thot-tecnico,content_types_metadata_taxonomy_tools_events,true,tge_schema,universe.escribania_tower|court.thot_schema,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,canonical_agent_treated_as_tge_adapter,ACTIVE_CANONICAL
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,anubis-gate,gates_stop_conditions_rollback_postcheck,true,tge_gate,universe.escribania_tower|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,microsoft_live_without_target,ACTIVE_CANONICAL
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,true,tge_compliance,universe.escribania_tower|court.sdu_gate,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,chain_of_command_missing,ACTIVE_CANONICAL
