"canonical_id","seed_batch_id","source_system","source_path","status","repo_id","repo","owner_agent","reviewer_agent","surfaces","gate_required","stop_condition"
"agent_connection.d_cabina_universal_root","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","rey.control_plane_orchestrator","rey.frontier_guardian","Power Platform Admin|SharePoint|Microsoft Graph|OpenAI API|Planner|Agents SDK|Entra ID|MCP Server|Unknown / POR_DEFINIR|Teams|Codex Connector|Microsoft 365 Admin|GitHub Actions","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.torre_gemela_escribania","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","TORRE_GEMELA_ESCRIBANIA","SeshatSgin/torre-gemela-escribania","universe.escribania_tower","rey.frontier_guardian","Unknown / POR_DEFINIR|SharePoint|Microsoft 365 Admin|OpenAI API|Power Platform Admin|Agents SDK|Microsoft Graph|GitHub Actions|Entra ID|Planner|MCP Server|Codex Connector|Teams","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.tge_agentic_runtime","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","TGE_AGENTIC_RUNTIME","SeshatSgin/tge-agentic-runtime-control-escribania","universe.escribania_tower","rey.frontier_guardian","SharePoint|Power Platform Admin|Microsoft Graph|Agents SDK|OpenAI API|Entra ID|Unknown / POR_DEFINIR|Codex Connector","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.sgin_cumplimiento","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","SGIN_CUMPLIMIENTO","SeshatSgin/sgin-cumplimiento","universe.escribania_tower","rey.frontier_guardian","Power Platform Admin|Microsoft Graph|SharePoint|OpenAI API|Planner|Entra ID|Unknown / POR_DEFINIR|GitHub Actions|Teams","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.sdu_canon","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","SDU_CANON","SeshatSgin/sdu-canon","court.seshat_evidence","rey.frontier_guardian","SharePoint|Power Platform Admin|OpenAI API|Entra ID|Agents SDK","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.seshat_bootstrap","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","SESHAT_BOOTSTRAP","SeshatSgin/seshat-bootstrap-sdu-cn","court.seshat_evidence","rey.frontier_guardian","SharePoint|Power Platform Admin|Entra ID|Teams|Codex Connector|Unknown / POR_DEFINIR|Microsoft Graph|Microsoft 365 Admin|Planner|OpenAI API|Agents SDK","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.sgin","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","SGIN","universo-rey/Sgin","universe.escribania_tower","rey.frontier_guardian","Power Platform Admin|SharePoint|Entra ID|Unknown / POR_DEFINIR","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.tcu_agentic_runtime","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","TCU_AGENTIC_RUNTIME","SeshatSgin/tcu-agentic-runtime-control","court.openai_dispatcher","rey.frontier_guardian","SharePoint|Power Platform Admin|OpenAI API|Agents SDK|Entra ID|Codex Connector|Microsoft Graph|Unknown / POR_DEFINIR","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.organizacion","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","ORGANIZACION","universo-rey/organizacion","rey.control_plane_orchestrator","rey.frontier_guardian","OpenAI API|Power Platform Admin|Entra ID|Microsoft Graph|SharePoint|Planner|Unknown / POR_DEFINIR|Agents SDK|Codex Connector","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.microsoft_agents_governed_lab","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","MICROSOFT_AGENTS_GOVERNED_LAB","universo-rey/microsoft-agents-governed-lab","universe.escribania_tower","rey.frontier_guardian","Agents SDK|GitHub Actions|Power Platform Admin|Microsoft 365 Admin|Unknown / POR_DEFINIR|SharePoint|MCP Server|Entra ID|Codex Connector|Microsoft Graph|Teams|Semantic Kernel|OpenAI API|Azure OpenAI","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
"agent_connection.seshat_bootstrap_nested_overlap","20260603_connection_seed_dev_v1","connection_registry_local","matrices/connections/AGENT_CONNECTION_MAPPING.csv","seed_now","SESHAT_BOOTSTRAP_NESTED_OVERLAP","SeshatSgin/seshat-bootstrap-sdu-cn","court.seshat_evidence","rey.frontier_guardian","SharePoint|Entra ID|Power Platform Admin|Teams|Codex Connector|Unknown / POR_DEFINIR|Microsoft Graph|Microsoft 365 Admin|Planner|OpenAI API|Agents SDK","CONNECTION_GATE_MATRIX.csv","microsoft_live_requested_without_governed_order_if_live"
