"canonical_id","name","source_system","status","sensitivity","owner"
"sdu","sdu","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"modo_on","modo on","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"seshat","seshat","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"openai_capability_control_plane","openai capability control plane","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"github_repo_scoped","github repo scoped","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"codex_cloud","codex cloud","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"agents_sdk","agents sdk","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"power_platform_dataverse","power platform dataverse","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"change_aware_full_coverage","change aware full coverage","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
"standard_agent_chain","standard agent chain","repo_canon","ACTIVE_OR_GATED","metadata_only","[POR DEFINIR]"
