"canonical_id","seed_batch_id","source_system","source_path","status","connection_canonical_id","evidence_hash","evidence_type","gate_required","stop_condition"
"evidence.conn_canon_000003","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CHAT_CONTEXT.md","seed_now","conn_canon_000003","3e126ea5c2abdea5f06b3fc9fca357c4c3ec53af2153e7a0bd4f482921730889","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000004","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md","seed_now","conn_canon_000004","ddae5c0a0cf5a9fd0cded525ba025c142a5c50227356ab74c0cdffa05aa735f4","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000005","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md","seed_now","conn_canon_000005","753f0275ca4d5e0fd32224f8d2ee683ab016ca6d3820275af9ad385d5a38228a","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000006","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000006","ffc0d7cc42499113b1e5a734677108d2cf9fbd7b39559654b6e2bb58ab399603","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000007","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000007","45bb289e31a4ef7360eb84fe2a2c09adb0c3013e8ec9b81537405d8c9d3cfe5b","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000008","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","seed_now","conn_canon_000008","625451664584a24ad18956293167b608e3e9be8a074bee6af542554fcff0762b","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000009","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000009","0273716c48a428afd99d4d2c5e69476fbc5ab386d859d796de9736b4e4c14002","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000010","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000010","e594ea8118f265a49277c3522c65330874402f5eb65fd6cabb719c92e464637f","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000011","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000011","c38e129c8a2ba72a27208aaa36ab880347315e4e6312bba656a29063c64c7e0f","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000012","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md","seed_now","conn_canon_000012","1e884f1afcb29f1c09a0ce16f8af49b20d585f8fbc9cf007cdf39c35ac791607","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000013","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/START_HERE.md","seed_now","conn_canon_000013","ecb8ce05ee940ef21b85e71f27efcb60b11ede344c534314239d943a28b405bf","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000014","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md","seed_now","conn_canon_000014","896182014ec0e4c9579eaa2cfbc7743c69580604ab4523b954254d8b139f62cc","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000015","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md","seed_now","conn_canon_000015","3aa9386c770c27fc3a239ffa5a513508c70ca623746e9be4fdb7adc659bb1935","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000016","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md","seed_now","conn_canon_000016","774075353c4412044ea2e52580252378960880305c94f7692a6c9c16947e8bcc","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000017","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/SDU_DIVERGENCE_SCAN.csv","seed_now","conn_canon_000017","683480a560465ea77fb00cfaf7c517f7822760dd659708a19c2724e2e1aa6586","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000018","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/SDU_DIVERGENCE_SCAN.csv","seed_now","conn_canon_000018","db6baa082fbd82e362113355e46c1ebaabd7231cd30af64ff9b8ae02cfd93f8c","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000019","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/SDU_DIVERGENCE_SCAN.csv","seed_now","conn_canon_000019","de068e6ed2d914e9cd3d26fe6ff9d172952b6883657b3688528ad75dd2ebc6f5","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000021","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/00_READBACK.md","seed_now","conn_canon_000021","bf9ec36cd984868ffc0dd31e974b1cb71889e610484543e309f3e72963a9fca2","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000022","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/00_READBACK.md","seed_now","conn_canon_000022","3fbb8e9e4eba225fe66a37f30e429e0b1f4e36464bcdd7400fb2016bac9f9b98","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000023","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/00_READBACK.md","seed_now","conn_canon_000023","ee1bc5272806bd31d0516fdfd7ff38c0c5570f57fab6fdccb9b691802a58bf28","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000024","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_DIVERGENCE_CASES.csv","seed_now","conn_canon_000024","dba14ba8b8975210ba8d63d128f3263bf370b7ef64fab15330d57fddd077b4b5","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000025","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_DIVERGENCE_CASES.csv","seed_now","conn_canon_000025","cce42d3d51477601d3e0ff95cf1e28eae18a6797345d19ac1d482bd430d30f8c","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000026","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_DIVERGENCE_CASES.csv","seed_now","conn_canon_000026","74c49f50954cd9c394d0bd111cfc5474d168309db78b09c194c38bb65780aa87","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000027","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_DIVERGENCE_CASES.csv","seed_now","conn_canon_000027","12439cbf03e5c5e0e0f6864421960d4a873acdecfe2954bed24e3465b0865c01","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000028","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_UNIFICATION_CRITERIA.md","seed_now","conn_canon_000028","622fb6b64e1d7598180c59478c9bd4f28d2914d6a0f6966d6f961534c0213edf","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000029","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_UNIFICATION_CRITERIA.md","seed_now","conn_canon_000029","ca1c085c1ee7c753048297227da1e40d540ca6c1fcd0e998e19b935bb4460906","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000030","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_UNIFICATION_CRITERIA.md","seed_now","conn_canon_000030","1ed62a7a18048b35b4bce69390fc4cdc1002ecf573119477d5cfad19976bd59d","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000031","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_KNOWLEDGE_DIVERGENCE_UNIFICATION_LOTE_1/SDU_UNIFICATION_CRITERIA.md","seed_now","conn_canon_000031","d36ac820f829fc78378a4e20be778cb95bae39fc543cd9dc59dc18f8f7978941","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000032","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-05-23_SDU_CONTEXT_ANCHORS_LOTE_1/00_READBACK.md","seed_now","conn_canon_000032","e815eaeb3d5afc2baf2da46857b43dab99cbbe4cb0de9b79a78e92d647ef0125","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000033","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-05-23_SDU_CONTEXT_ANCHORS_LOTE_1/00_READBACK.md","seed_now","conn_canon_000033","3944162061625740e2b23d70a70f9d81d0dd923bd7afe8ddcb61d559225dd484","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000034","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-05-23_SDU_CONTEXT_ANCHORS_LOTE_1/00_READBACK.md","seed_now","conn_canon_000034","d4f049195db4c521d66207727f0769db7a030f87c80a766648f2d028b4ab9555","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000035","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-06-02_OPENAI_UPSTREAM_WAVE2_ADOPTION/00_READBACK.md","seed_now","conn_canon_000035","889cdf5ff496e8a316b58a2632fff2596c907469e6e92479d1b604b021b25c3d","metadata_pointer_only","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order"
"evidence.conn_canon_000036","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-06-02_OPENAI_UPSTREAM_WAVE2_ADOPTION/00_READBACK.md","seed_now","conn_canon_000036","13308f0ecb70e1cfdf1e0d01dd7986cf0eb9f6320dbc3138258b9f53c9c97728","metadata_pointer_only","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev"
"evidence.conn_canon_000037","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/readbacks/2026-06-02_OPENAI_UPSTREAM_WAVE2_ADOPTION/00_READBACK.md","seed_now","conn_canon_000037","a112d52845fe8ad3351ee6d836c0860119604bcac6850c06fa4822dae24ccceb","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
"evidence.conn_canon_000038","20260603_connection_seed_dev_v1","connection_registry_local","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/AGENTS.md","seed_now","conn_canon_000038","45ea517068d5d23fd0b615ec1a870603949718f7562bd2ced4ff91b2c451dc5b","metadata_pointer_only","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order"
