artifact_id,local_path,role,git_visibility,length_bytes,sha256,versioning_decision,active_queue_lane
rey_guia.canon_v1,docs/canon/CANON_REY_GUIA_V1.md,canon_rey_guia,ignored_by_root_allowlist,4982,D4D77C773C5F39D0F0F09F6013A85065B457EA76510143A1F4EDAA7B1EA9D99A,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.metodo_decreto_on,docs/metodologia/METODO_DECRETO_ON.md,methodology,ignored_by_root_allowlist,2825,5CF12C8F8C621E0D332481E5A7D4B6DB77DD5BCCCF20729D89482756A7930AFC,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.matriz_maestra_md,docs/reconciliacion/MATRIZ_MAESTRA_RECONCILIACION.md,reconciliation_matrix_markdown,ignored_by_root_allowlist,10184,32A73ED03ED67CE79752D72AC5E16561B1CA3636BAA23147CB8E56856182EA70,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.matriz_maestra_csv,matrices/reconciliacion/MATRIZ_MAESTRA_RECONCILIACION.csv,reconciliation_matrix_csv,ignored_by_root_allowlist,8915,69072F5F43FAA605F9B320AA160127FA3F960DBFC8E3D4E6644B7B279AB99488,pointer_only_keep_source_matrix_local,rey_guia.versionable_canon_pointer
rey_guia.inventario_activos,docs/reconciliacion/INVENTARIO_ACTIVOS_EXISTENTES.md,asset_inventory,ignored_by_root_allowlist,7573,F20F19A8330F84EEDA3C4BDD922E069FBA72F028EF1723087A5FCD9F6349B8B3,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.gap_analysis,docs/reconciliacion/GAP_ANALYSIS_REY_GUIA.md,gap_analysis,ignored_by_root_allowlist,2377,2939EB5EAD351CB4EE2A01DC1BA40273F14AA95F468596027BD56DC4073A0E69,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.traduccion_canon,docs/reconciliacion/MAPA_TRADUCCION_CANON_A_ECOSISTEMA.md,translation_map,ignored_by_root_allowlist,2382,2B25170674FDA0B2891C6D8D4D26739AE2A6B3FD648A914D84BB6DD3F2CA2B51,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.backlog_cierre,docs/backlog/BACKLOG_CIERRE_RECONCILIACION.md,closure_backlog,ignored_by_root_allowlist,1897,275C98FD4F9207285E68060ADF4B5AE03AE0EDBBAC17E008ACEF83751C09C80B,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.decisiones_requeridas,docs/reconciliacion/DECISIONES_REQUERIDAS.md,owner_decisions,ignored_by_root_allowlist,1728,805DC44791E0FEDCF4D5E226760EAF55708ECE5940DBB66B136998560C44D860,pointer_only_do_not_absorb_docs,rey_guia.decisions_owner_review
rey_guia.reconciliacion_readme,docs/reconciliacion/README.md,reconciliation_index,ignored_by_root_allowlist,1597,4249400F4776474270124D336A99557E63AFBB32F6BDF80A3C204E1939DB64C4,pointer_only_do_not_absorb_docs,rey_guia.versionable_canon_pointer
rey_guia.technical_summary,.agents/codex/evals/results/rey_guia_reconciliation_summary_20260604.json,technical_summary_json,tracked_repo_visible,1152,65D7FDD100050B03F333DF164752B977C178393DE61B0FD5C78BD48E88481E85,already_repo_visible_evidence,rey_guia.versionable_canon_pointer
