"overlap_id","repo","file_path","surface","connection_type","instance_count","connection_ids","resolution","risk"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/canonical-examples/glosario-controlado/README.md","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19870|conn.sdu_canon.entra_id.19871","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/canonical-examples/matriz-entradas-tenant/README.md","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19873|conn.sdu_canon.entra_id.19874","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/docs/13_MATRIZ_ENTRADAS_TENANT.md","Entra ID","Entra ID","8","conn.sdu_canon.entra_id.19881|conn.sdu_canon.entra_id.19882|conn.sdu_canon.entra_id.19883|conn.sdu_canon.entra_id.19884|conn.sdu_canon.entra_id.19885|conn.sdu_canon.entra_id.19886|conn.sdu_canon.entra_id.19887|conn.sdu_canon.entra_id.19888","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/ECOSISTEMA.md","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19866|conn.sdu_canon.entra_id.19867","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/README.md","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19868|conn.sdu_canon.entra_id.19869","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/schemas/matriz-entradas-tenant.schema.yaml","Entra ID","Entra ID","4","conn.sdu_canon.entra_id.19890|conn.sdu_canon.entra_id.19891|conn.sdu_canon.entra_id.19892|conn.sdu_canon.entra_id.19893","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/tests/fixtures/validation/matriz-entradas-tenant/invalid/bad-clase-entrada.yaml","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19895|conn.sdu_canon.entra_id.19896","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/tests/test_validate_sdu.py","Entra ID","Entra ID","2","conn.sdu_canon.entra_id.19900|conn.sdu_canon.entra_id.19901","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.entra_id","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/tools/validate_sdu.py","Entra ID","Entra ID","17","conn.sdu_canon.entra_id.19902|conn.sdu_canon.entra_id.19903|conn.sdu_canon.entra_id.19904|conn.sdu_canon.entra_id.19905|conn.sdu_canon.entra_id.19906|conn.sdu_canon.entra_id.19907|conn.sdu_canon.entra_id.19908|conn.sdu_canon.entra_id.19909|conn.sdu_canon.entra_id.19910|conn.sdu_canon.entra_id.19911|conn.sdu_canon.entra_id.19912|conn.sdu_canon.entra_id.19913|conn.sdu_canon.entra_id.19914|conn.sdu_canon.entra_id.19915|conn.sdu_canon.entra_id.19916|conn.sdu_canon.entra_id.19917|conn.sdu_canon.entra_id.19918","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
"overlap.sdu_canon.openai_api","SeshatSgin/sdu-canon","03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md","OpenAI API","OpenAI API","2","conn.sdu_canon.openai_api.19810|conn.sdu_canon.openai_api.19811","deduplicate_by_file_section_before_dataverse_seed","duplicate_pattern_overlap"
