"surface_id","surface","provider","connection_type","instance_count","tenant_scopes","highest_risk","gate_required","live_enabled","status"
"surface.agents_sdk","Agents SDK","OpenAI","Agents SDK","467","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_OPENAI_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.azure_openai","Azure OpenAI","Microsoft/OpenAI","Azure OpenAI","102","ESCRIBANIA","critical","GATE_OPENAI_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.codex_connector","Codex Connector","Codex","Codex Connector","489","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_CONNECTOR_REGISTRY_NO_SECRET","no","LOCAL_INVENTORY_GATED"
"surface.entra_id","Entra ID","Microsoft","Entra ID","2672","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.github_actions","GitHub Actions","GitHub","GitHub Actions","71","ROOT_CONTROL_PLANE|ESCRIBANIA","critical","GATE_GITHUB_REPO_SCOPED","no","LOCAL_INVENTORY_GATED"
"surface.mcp_server","MCP Server","Local/Codex","MCP Server","339","ROOT_CONTROL_PLANE|ESCRIBANIA","critical","GATE_CONNECTOR_REGISTRY_NO_SECRET","no","LOCAL_INVENTORY_GATED"
"surface.microsoft_365_admin","Microsoft 365 Admin","Microsoft","Microsoft 365 Admin","2204","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.microsoft_graph","Microsoft Graph","Microsoft","Microsoft Graph","3498","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.openai_api","OpenAI API","OpenAI","OpenAI API","2998","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_OPENAI_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.planner","Planner","Microsoft","Planner","3032","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.power_platform_admin","Power Platform Admin","Microsoft","Power Platform Admin","3453","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","no","LOCAL_INVENTORY_GATED"
"surface.semantic_kernel","Semantic Kernel","Microsoft","Semantic Kernel","12","ESCRIBANIA","low","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","no","LOCAL_INVENTORY_GATED"
"surface.sharepoint","SharePoint","Microsoft","SharePoint","6373","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.teams","Teams","Microsoft","Teams","187","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","no","LOCAL_INVENTORY_GATED"
"surface.unknown_por_definir","Unknown / POR_DEFINIR","[POR DEFINIR]","Unknown / POR_DEFINIR","2854","ROOT_CONTROL_PLANE|ESCRIBANIA|COURT_SDU_SESHAT","critical","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","no","LOCAL_INVENTORY_GATED"
