"logical_name","display_name","publisher_prefix","within_solution","auditing","change_tracking","alternate_key_mon_canonical_id","row_count","seed_batch_id_detected","uso_previsto","puede_generar_trabajo","cola_destino_sugerida","gaps","accion_recomendada"
"mon_sdu_agent_connection_mapping","mon_sdu_agent_connection_mapping","mon","SDUCapabilityControlPlane","True","True","True","11","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Agent.Dispatch.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_apply_log","mon_sdu_apply_log","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","yes_operational_when_rows_exist","yes","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_gate","mon_sdu_connection_gate","mon","SDUCapabilityControlPlane","True","True","True","6","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Gate.Review.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_instance","mon_sdu_connection_instance","mon","SDUCapabilityControlPlane","True","True","True","5000","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Connection.Seed.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_reference_registry","mon_sdu_connection_reference_registry","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Matrix.Intake.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_risk","mon_sdu_connection_risk","mon","SDUCapabilityControlPlane","True","True","True","5000","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Exception.Remediation.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_secret_boundary","mon_sdu_connection_secret_boundary","mon","SDUCapabilityControlPlane","True","True","True","5000","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Gate.Review.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_connection_surface","mon_sdu_connection_surface","mon","SDUCapabilityControlPlane","True","True","True","15","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Connection.Seed.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_deployment_profile","mon_sdu_deployment_profile","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_environment","mon_sdu_environment","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Matrix.Intake.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_environment_variable_registry","mon_sdu_environment_variable_registry","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Matrix.Intake.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_evidence","mon_sdu_evidence","mon","SDUCapabilityControlPlane","True","True","True","5000","20260603_connection_seed_dev_v1_or_operational","yes_seeded_or_evidence","yes","SDU.Evidence.Publish.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_import_export_job","mon_sdu_import_export_job","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","yes_operational_when_rows_exist","yes","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_publisher","mon_sdu_publisher","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_readback","mon_sdu_readback","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","yes_operational_when_rows_exist","yes","SDU.Evidence.Publish.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_repository","mon_sdu_repository","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Matrix.Intake.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_snapshot","mon_sdu_snapshot","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","yes_operational_when_rows_exist","yes","SDU.Drift.Detection.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_solution","mon_sdu_solution","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_solution_component","mon_sdu_solution_component","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Dataverse.Apply.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_source_artifact","mon_sdu_source_artifact","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Matrix.Intake.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_stop_condition","mon_sdu_stop_condition","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","candidate_metadata_only","conditional","SDU.Gate.Review.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
"mon_sdu_validation_gate","mon_sdu_validation_gate","mon","SDUCapabilityControlPlane","True","True","True","0","none_detected","yes_operational_when_rows_exist","yes","SDU.Gate.Review.Queue","mon_queue_name|mon_queue_item_id|mon_queue_item_status|mon_correlation_id|mon_idempotency_key|mon_batch_id|mon_dispatch_status|mon_dispatched_at|mon_dispatch_result|mon_ai_assisted|mon_ai_validation_status","bind_to_queue_payload_without_table_mutation"
