"table_logical_name","attempted_update","compatible_fields_present","missing_binding_fields","update_result","rollback","status"
"mon_sdu_agent_connection_mapping","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_apply_log","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_gate","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_instance","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_reference_registry","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_risk","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_secret_boundary","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_connection_surface","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_deployment_profile","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_environment","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_environment_variable_registry","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_evidence","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_import_export_job","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_publisher","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_readback","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_repository","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_snapshot","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_solution","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_solution_component","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_source_artifact","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_stop_condition","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
"mon_sdu_validation_gate","no","0","11","NOT_UPDATED_FIELD_GAPS_NO_COLUMN_CREATE_WITHOUT_GATE","NO_DATAVERSE_ROW_UPDATE_EXECUTED","PASS_CONTROLLED_GAP"
