"matrix_id","source_path","migrability","target_tables","data_policy","seed_policy","blocker","apply_to_dev"
"agent_capability_graph_20260603",".agents/codex/matrices/AGENT_CAPABILITY_GRAPH_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agent_default_skill_assignment_matrix",".agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agent_governance_matrix",".agents/codex/matrices/AGENT_GOVERNANCE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agent_tool_recipe_skill_matrix",".agents/codex/matrices/AGENT_TOOL_RECIPE_SKILL_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agent_workpapers_matrix",".agents/codex/matrices/AGENT_WORKPAPERS_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agents_instruction_surface_matrix",".agents/codex/matrices/AGENTS_INSTRUCTION_SURFACE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"agents_sdk_baseline_gate_20260603",".agents/codex/matrices/AGENTS_SDK_BASELINE_GATE_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"autonomous_agent_execution_matrix_20260602",".agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"cabina_current_state_review_20260603",".agents/codex/matrices/CABINA_CURRENT_STATE_REVIEW_20260603.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"cabina_full_live_global_canon_matrix_20260603",".agents/codex/matrices/CABINA_FULL_LIVE_GLOBAL_CANON_MATRIX_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
