"source_table","source_condition","destination_queue","queue_item_type","gate_id","risk_level","stop_condition","ai_assisted","ai_validation_status"
"mon_sdu_agent_connection_mapping","metadata_rows_present","SDU.Agent.Dispatch.Queue","AGENT_DISPATCH","GATE_METADATA_ONLY_QUEUE_BINDING","high","agent_dispatch_without_owner_or_gate","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY; binding_reference=RULE_AGENT_CONNECTION_MAPPING -> SDU.Agent.Dispatch.Queue"
"mon_sdu_apply_log","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_gate","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_instance","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_reference_registry","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_risk","metadata_rows_present","SDU.Exception.Remediation.Queue","EXCEPTION_REMEDIATION","GATE_REVIEW_REQUIRED","high","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_secret_boundary","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_connection_surface","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_deployment_profile","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_environment","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_environment_variable_registry","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_evidence","metadata_rows_present","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_import_export_job","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_publisher","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_readback","metadata_table_ready_no_rows","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_repository","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","low","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_snapshot","metadata_table_ready_no_rows","SDU.Drift.Detection.Queue","DRIFT_DETECTION","GATE_METADATA_ONLY_QUEUE_BINDING","medium","queue_payload_missing_required_fields","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_solution","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
"mon_sdu_solution_component","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","high","dataverse_apply_without_governed_order","false","OPENAI_API_NOT_AVAILABLE_LOCAL_RULES_ONLY"
