"canonical_id","queue_item_type","priority","risk_level","gate_id","stop_condition","remediation_class","evidence_required","consistency_flags","ai_assisted_status","local_validation_status"
"conn_canon_000003","CONNECTION_SEED","high","high","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000004","CONNECTION_SEED","high","high","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000005","CONNECTION_SEED","high","high","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000006","CONNECTION_SEED","high","high","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000007","CONNECTION_SEED","high","high","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000008","CONNECTION_SEED","high","high","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000009","CONNECTION_SEED","high","high","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000010","CONNECTION_SEED","high","high","GATE_OPENAI_LIVE_GOVERNED_ORDER","openai_api_live_requested_without_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000011","CONNECTION_SEED","high","high","GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT","dataverse_apply_without_explicit_sandbox_or_default_as_dev","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"conn_canon_000012","CONNECTION_SEED","high","high","GATE_MICROSOFT_LIVE_GOVERNED_ORDER","microsoft_live_requested_without_governed_order","none","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","GATE_REVIEW","medium","medium","GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED","microsoft_live_requested_without_governed_order","gate_review","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
"GATE_CONNECTOR_REGISTRY_NO_SECRET","GATE_REVIEW","medium","medium","GATE_CONNECTOR_REGISTRY_NO_SECRET","connection_gate_missing","gate_review","","","AI_ASSISTED_NOT_CANON_UNTIL_VALIDATED","PASS_SCHEMA_PARSED"
