"entity","entity_set_name","primary_name_attribute","primary_id_attribute","ownership_type","logical_name","attribute_type","required_level","valid_for_create","valid_for_update","primary_name"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","completedon","DateTime","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","componentidunique","Uniqueidentifier","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","componentstate","Picklist","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","componentstatename","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdby","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdbyname","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdbyyominame","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdon","DateTime","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdonbehalfby","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdonbehalfbyname","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","createdonbehalfbyyominame","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","delayuntil","DateTime","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","executioncontext","Memo","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","expirydate","DateTime","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","importsequencenumber","Integer","None","True","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","input","Memo","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","iscustomizable","ManagedProperty","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","ismanaged","Boolean","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","ismanagedname","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","machineuser","Memo","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedby","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedbyname","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedbyyominame","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedon","DateTime","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedonbehalfby","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedonbehalfbyname","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","modifiedonbehalfbyyominame","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","name","String","ApplicationRequired","True","True","True"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","overriddencreatedon","DateTime","None","True","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","overwritetime","DateTime","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","ownerid","Owner","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owneridname","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owneridtype","EntityName","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owneridyominame","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owningbusinessunit","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owningbusinessunitname","String","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owningteam","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","owninguser","Lookup","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","priority","Integer","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processingduration","Integer","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processingresult","Memo","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processingstarttime","DateTime","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processinguser","Lookup","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processingusername","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processinguseryominame","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processorid","Memo","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processortype","Picklist","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","processortypename","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","requeuecount","Integer","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","retrycount","Integer","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","slastatus","Picklist","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","slastatusname","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","slathresholddate","DateTime","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","solutionid","Uniqueidentifier","SystemRequired","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","statecode","State","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","statecodename","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","statuscode","Status","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","statuscodename","Virtual","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","supportingsolutionid","Uniqueidentifier","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","timezoneruleversionnumber","Integer","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","uniqueidbyqueue","String","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","utcconversiontimezonecode","Integer","None","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","versionnumber","BigInt","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","workqueueid","Lookup","SystemRequired","True","True","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","workqueueidname","String","None","False","False","False"
"workqueueitem","workqueueitems","name","workqueueitemid","UserOwned","workqueueitemid","Uniqueidentifier","SystemRequired","True","False","False"
