"entity","entity_set_name","primary_name_attribute","primary_id_attribute","ownership_type","logical_name","attribute_type","required_level","valid_for_create","valid_for_update","primary_name"
"workqueue","workqueues","name","workqueueid","UserOwned","allowupdateinputwhileprocessing","Picklist","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","allowupdateinputwhileprocessingname","Virtual","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","componentidunique","Uniqueidentifier","SystemRequired","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","componentstate","Picklist","SystemRequired","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","componentstatename","Virtual","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","continueprocessingifslaviolated","Picklist","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","continueprocessingifslaviolatedname","Virtual","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdby","Lookup","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdbyname","String","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdbyyominame","String","SystemRequired","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdon","DateTime","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdonbehalfby","Lookup","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdonbehalfbyname","String","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","createdonbehalfbyyominame","String","SystemRequired","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","defaultitemtimetoliveinminutes","Integer","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","description","Memo","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","importsequencenumber","Integer","None","True","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","inputschema","Memo","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","inputschematype","Picklist","None","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","inputschematypename","Virtual","None","False","False","False"
"workqueue","workqueues","name","workqueueid","UserOwned","iscustomizable","ManagedProperty","SystemRequired","True","True","False"
"workqueue","workqueues","name","workqueueid","UserOwned","ismanaged","Boolean","SystemRequired","False","False","False"
