"logical_name","status","entity_set_name","primary_name_attribute","primary_id_attribute","is_custom_entity"
"workqueue","FOUND","workqueues","name","workqueueid","True"
"workqueueitem","FOUND","workqueueitems","name","workqueueitemid","True"
"msdyn_workqueue","NOT_FOUND","","","",""
"msdyn_workqueueitem","NOT_FOUND","","","",""
"msdyn_flow_workqueue","NOT_FOUND","","","",""
"msdyn_flow_workqueueitem","NOT_FOUND","","","",""
"msdyn_bulkassigntoqueueapiprivilege","QUEUE_RELATED","msdyn_bulkassigntoqueueapiprivileges","msdyn_name","msdyn_bulkassigntoqueueapiprivilegeid",""
"msdyn_convertrule_queue_association","QUEUE_RELATED","msdyn_convertrule_queue_associationset",,"msdyn_convertrule_queue_associationid",""
"msdyn_omnichannelqueue","QUEUE_RELATED","msdyn_omnichannelqueues","msdyn_name","msdyn_omnichannelqueueid",""
"msdyn_originatingqueue","QUEUE_RELATED","msdyn_originatingqueues","msdyn_name","msdyn_originatingqueueid",""
"msdyn_queueextension","QUEUE_RELATED","msdyn_queueextensions","msdyn_name","msdyn_queueextensionid",""
"msdyn_queueusergroupmembership","QUEUE_RELATED","msdyn_queueusergroupmemberships","msdyn_name","msdyn_queueusergroupmembershipid",""
"msdyn_systemuser_msdyn_omnichannelqueue","QUEUE_RELATED","msdyn_systemuser_msdyn_omnichannelqueueset",,"msdyn_systemuser_msdyn_omnichannelqueueid",""
"msdyn_workqueuerecord","QUEUE_RELATED","msdyn_workqueuerecords","msdyn_primaryname","msdyn_workqueuerecordid",""
"msdyn_workqueuestate","QUEUE_RELATED","msdyn_workqueuestates","msdyn_primaryname","msdyn_workqueuestateid",""
"msdyn_workqueueusersetting","QUEUE_RELATED","msdyn_workqueueusersettings","msdyn_name","msdyn_workqueueusersettingid",""
"queue","QUEUE_RELATED","queues","name","queueid",""
"queueitem","QUEUE_RELATED","queueitems","title","queueitemid",""
"queueitemcount","QUEUE_RELATED","queueitemcounts",,"queueitemcountid",""
"queuemembercount","QUEUE_RELATED","queuemembercounts",,"queuemembercountid",""
"queuemembership","QUEUE_RELATED","queuememberships",,"queuemembershipid",""
