"rule_id","source_table","source_condition","destination_queue","queue_item_type","gate_id","stop_condition","ai_overlay","status"
"RULE_AGENT_CONNECTION_MAPPING","mon_sdu_agent_connection_mapping","metadata_rows_present","SDU.Agent.Dispatch.Queue","AGENT_DISPATCH","GATE_METADATA_ONLY_QUEUE_BINDING","agent_dispatch_without_owner_or_gate","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY; binding_reference=RULE_AGENT_CONNECTION_MAPPING -> SDU.Agent.Dispatch.Queue","PASS"
"RULE_APPLY_LOG","mon_sdu_apply_log","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_GATE","mon_sdu_connection_gate","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_INSTANCE","mon_sdu_connection_instance","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_REFERENCE_REGISTRY","mon_sdu_connection_reference_registry","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_RISK","mon_sdu_connection_risk","metadata_rows_present","SDU.Exception.Remediation.Queue","EXCEPTION_REMEDIATION","GATE_REVIEW_REQUIRED","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_SECRET_BOUNDARY","mon_sdu_connection_secret_boundary","metadata_rows_present","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_CONNECTION_SURFACE","mon_sdu_connection_surface","metadata_rows_present","SDU.Connection.Seed.Queue","CONNECTION_SEED","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_DEPLOYMENT_PROFILE","mon_sdu_deployment_profile","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_ENVIRONMENT","mon_sdu_environment","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_ENVIRONMENT_VARIABLE_REGISTRY","mon_sdu_environment_variable_registry","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_EVIDENCE","mon_sdu_evidence","metadata_rows_present","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_IMPORT_EXPORT_JOB","mon_sdu_import_export_job","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_PUBLISHER","mon_sdu_publisher","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_READBACK","mon_sdu_readback","metadata_table_ready_no_rows","SDU.Evidence.Publish.Queue","EVIDENCE_PUBLISH","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_REPOSITORY","mon_sdu_repository","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_SNAPSHOT","mon_sdu_snapshot","metadata_table_ready_no_rows","SDU.Drift.Detection.Queue","DRIFT_DETECTION","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_SOLUTION","mon_sdu_solution","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_SOLUTION_COMPONENT","mon_sdu_solution_component","metadata_table_ready_no_rows","SDU.Dataverse.Apply.Queue","DATAVERSE_APPLY","GATE_METADATA_ONLY_QUEUE_BINDING","dataverse_apply_without_governed_order","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_SOURCE_ARTIFACT","mon_sdu_source_artifact","metadata_table_ready_no_rows","SDU.Matrix.Intake.Queue","MATRIX_INTAKE","GATE_METADATA_ONLY_QUEUE_BINDING","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_STOP_CONDITION","mon_sdu_stop_condition","metadata_table_ready_no_rows","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
"RULE_VALIDATION_GATE","mon_sdu_validation_gate","metadata_table_ready_no_rows","SDU.Gate.Review.Queue","GATE_REVIEW","GATE_REVIEW_REQUIRED","queue_payload_missing_required_fields","OPENAI_ASSISTED_AVAILABLE_FOR_SAMPLE_ONLY","PASS"
