"gate_id","status","evidence"
"GATE_WQ_OP_01_ENVIRONMENT_CONFIRMED","PASS","WORK_QUEUE_ENVIRONMENT_PRECHECK.md"
"GATE_WQ_OP_02_NOT_DEFAULT","PASS","WORK_QUEUE_ENVIRONMENT_PRECHECK.md"
"GATE_WQ_OP_03_NOT_PROD","PASS","WORK_QUEUE_ENVIRONMENT_PRECHECK.md"
"GATE_WQ_OP_04_NOT_TEST","PASS","WORK_QUEUE_ENVIRONMENT_PRECHECK.md"
"GATE_WQ_OP_05_SOLUTION_CONFIRMED","PASS","WORK_QUEUE_ENVIRONMENT_BINDING_MATRIX.csv"
"GATE_WQ_OP_06_22_TABLES_CONFIRMED","PASS","DATAVERSE_22_TABLES_OPERATIONAL_STATE.csv"
"GATE_WQ_OP_07_SEED_BATCH_CONFIRMED","PASS","00_FREEZE_DATAVERSE_SEEDED_STATE_BEFORE_WORK_QUEUE_BINDING.md"
"GATE_WQ_OP_08_NO_DRIFT_OPEN","PASS","DATAVERSE_DEV_CONNECTION_SEED_DRIFT_REPORT.csv"
"GATE_WQ_OP_09_NO_SECRETS","PASS","OPENAI redaction and local checks"
"GATE_WQ_OP_10_NO_PERSONAL_DATA","PASS","metadata-only payload rules"
"GATE_WQ_OP_11_QUEUE_MODEL_VALIDATED","PASS","WORK_QUEUE_LIVE_POSTCHECK.csv"
"GATE_WQ_OP_12_PAYLOAD_VALIDATED","PASS","WORK_QUEUE_PILOT_ITEMS.csv"
"GATE_WQ_OP_13_PILOT_ROWS_SAFE","PASS","WORK_QUEUE_PILOT_LIVE_POSTCHECK.csv"
"GATE_WQ_OP_14_ROLLBACK_DEFINED","PASS","WORK_QUEUE_OPERATIONAL_ROLLBACK_PLAN.md"
"GATE_WQ_OP_15_POSTCHECK_DEFINED","PASS","WORK_QUEUE_OPERATIONAL_POSTCHECK.md"
"GATE_WQ_OP_16_PARALLEL_LOCKS_VALIDATED","PASS","PARALLEL_WORK_QUEUE_LANE_PLAN.csv"
"GATE_WQ_OP_17_NO_WRITE_SCOPE_OVERLAP","PASS","PARALLEL_WORK_QUEUE_PREFLIGHT.md"
"GATE_WQ_OP_18_OPENAI_METADATA_ONLY","PASS","OPENAI_API_METADATA_ONLY_PREFLIGHT.md"
"GATE_WQ_OP_19_OPENAI_OUTPUT_LOCAL_VALIDATED","PASS","OPENAI_ASSISTED_WORK_QUEUE_CLASSIFICATION.csv"
"GATE_WQ_OP_20_OPENAI_COST_BOUNDARY_CONFIRMED_OR_SKIPPED","PASS","openai_api_usage_summary.csv"
