field,value,source,evidence,status,stop_condition
queue_item_id,ea8e7026-525f-f111-a826-00224805fc91,DEV_RUNTIME_ACTIVATION_TARGET_MATRIX.csv,item_id,PASS,item_missing
queue_name,SDU.Connection.Seed.Queue,DEV_RUNTIME_ACTIVATION_TARGET_MATRIX.csv,queue_name,PASS,queue_missing
queue_item_key,20260603_wqexp_v1_connection_seed_0011,DEV workqueueitem input and target matrix,uniqueidbyqueue,PASS,queue_item_key_missing
canonical_id,expanded_connection_seed_0011,DEV workqueueitem input,metadata-only payload,PASS,canonical_id_missing
correlation_id,corr_connection_seed_0011,DEV workqueueitem input,metadata-only payload,PASS,correlation_id_missing
idempotency_key,20260603_wqexp_v1_connection_seed_0011,DEV workqueueitem input,metadata-only payload,PASS,idempotency_key_missing
batch_id,20260603_workqueue_expanded_pilot_dev_v1,DEV workqueueitem input,metadata-only payload,PASS,batch_id_missing
gate_id,postmerge_dev_operational_expansion,DEV workqueueitem input,metadata-only payload,PASS,gate_id_missing
operation,connection_seed,DEV workqueueitem input item_type,metadata-only payload,PASS,operation_missing
selected_flow_id,ee762781-515f-f111-a826-00224805f2e4,DEV_RUNTIME_ACTIVATION_TARGET_MATRIX.csv,workflowid,PASS,flow_missing
selected_flow_name,SDU_Process_Connection_Seed_Work_Items,DEV_RUNTIME_ACTIVATION_TARGET_MATRIX.csv,flow_name,PASS,flow_missing
result,processed_one_metadata_only_item,DEV_RUNTIME_ACTIVATION_EXECUTION_LOG.csv,process_item_complete PASS,PASS,result_missing
status_after,statecode=2 statuscode=2,DEV_RUNTIME_STATE_MATRIX.csv,workqueueitem state_after/status_after,PASS,status_missing
stop_condition,target_mapping_missing_or_ambiguous,DEV_RUNTIME_BACK_REFERENCE_RESULT.csv,previous stop condition,PASS,stop_condition_missing
rollback_strategy,delete_workqueueitem_by_uniqueidbyqueue_only_if_explicit_future_rollback_order,DEV workqueueitem input,metadata-only payload,PASS,rollback_missing
previous_block_reason,live query mon_canonical_id eq expanded_connection_seed_0011 returned 0 rows; no inferred seed row update,DEV_RUNTIME_BACK_REFERENCE_RESULT.csv,evidence,PASS,block_reason_missing
