"domain","environment_name","solution_reference","solution_kind","environment_id","environment_url","tenant_id","inventory_state","evidence_refs","notes"
"power_platform","HUBDesarrollo","SDUCapabilityControlPlane","power_platform_solution","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","https://org084965d9.crm.dynamics.com","858a0852-44a1-413e-a0fe-f053949797d6","FULL_LOCAL_INVENTORY","matrices/dataverse/DATAVERSE_DEV_ENVIRONMENT_BINDING_MATRIX.csv|matrices/sdu/SDU_ENVIRONMENT_SURFACE_CROSSWALK.csv|matrices/sdu/SDU_ENVIRONMENT_CAPABILITY_MAP.csv|readbacks/sdu/READBACK_SDU_COMPLETE_ENVIRONMENT_MAP.md","22 tables; 8 queues; 6 agents; publisher ModoON/mon"
"power_platform","ESCRIBANIA BITSCH default","UNKNOWN_NO_LOCAL_INVENTORY","default_environment_marker","","","","PARTIAL_LOCAL_INVENTORY","dataverse/data/seed_environments.csv|readbacks/sdu/READBACK_SDU_COMPLETE_ENVIRONMENT_MAP.md|.agents/codex/workpapers/target_resolution_live_gate_20260608/CONNECTION_STATUS_MATRIX_20260608.csv","default marker only; no local table, queue, solution or agent roster confirmed"
"power_platform","SGIN_CANON_DEV_20260418","UNKNOWN_VISIBLE_ONLY","unknown","","","","VISIBLE_ONLY",".agents/codex/workpapers/target_resolution_live_gate_20260608/CONNECTION_STATUS_MATRIX_20260608.csv|.agents/codex/workpapers/activation_real_post_pr139_20260608/ACTIVATION_REAL_READBACK_20260608.md","visible in pac org list; solution not confirmed locally"
"power_platform","Microsoft 365","UNKNOWN_VISIBLE_ONLY","unknown","","","","VISIBLE_ONLY",".agents/codex/workpapers/target_resolution_live_gate_20260608/CONNECTION_STATUS_MATRIX_20260608.csv|.agents/codex/workpapers/activation_real_post_pr139_20260608/ACTIVATION_REAL_READBACK_20260608.md","visible in pac org list; solution not confirmed locally"
"power_platform","RUC-KYC-Prod","UNKNOWN_VISIBLE_ONLY","unknown","","","","VISIBLE_ONLY",".agents/codex/workpapers/target_resolution_live_gate_20260608/CONNECTION_STATUS_MATRIX_20260608.csv|.agents/codex/workpapers/activation_real_post_pr139_20260608/ACTIVATION_REAL_READBACK_20260608.md","visible in pac org list; solution not confirmed locally"
"power_platform","Kit Copilot Studio","UNKNOWN_VISIBLE_ONLY","unknown","","","","VISIBLE_ONLY",".agents/codex/workpapers/target_resolution_live_gate_20260608/CONNECTION_STATUS_MATRIX_20260608.csv","visible in pac org list; solution not confirmed locally"
"codex_cloud","SeshatSgin/tcu-control-plane","SeshatSgin/tcu-control-plane","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
"codex_cloud","Sgin","universo-rey/Sgin","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
"codex_cloud","SGIN_Canonico_Puro","SeshatSgin/SGIN_Canonico_Puro","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
"codex_cloud","universo-rey/cabina-universal-d","universo-rey/cabina-universal-d","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
"codex_cloud","SeshatSgin/sgin-cloud","SeshatSgin/sgin-cloud","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
"codex_cloud","SeshatSgin/torre-gemela-escribania","SeshatSgin/torre-gemela-escribania","repo_root","","","","ACTIVE_READONLY_SMOKE_READY",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv",".repo environment visible in Codex Cloud UI/CLI"
