"ID","Title","Backlog_ID","SD_Codigo","Estado","EjeEstrategico","Iniciativa","SD_Dominio","SD_Macroproceso","ResultadoEsperado","Dependencias","Responsable","EvidenciaDocumentoBase","CadenciaFecha","NO_CONSTA"
"1","01 P0 LIB_GobiernoSistemas","SD-BL-001","01","active","LIB_GobiernoSistemas","governance_core","P0","20 items","keep_in_next_execution_path","source_order=1; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"2","02 P0 SD_BacklogEstrategico","SD-BL-002","02","active","SD_BacklogEstrategico","visible_backlog","P0","11 items","keep_in_next_execution_path","source_order=2; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"3","03 P0 WB_Decisiones","SD-BL-003","03","active","WB_Decisiones","working_list","P0","31 items","keep_in_next_execution_path","source_order=3; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"4","04 P0 SYS_EstadoOperativo","SD-BL-004","04","active","SYS_EstadoOperativo","system_list","P0","68 items","keep_in_next_execution_path","source_order=4; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"5","05 P1 WB_Riesgos","SD-BL-005","05","active","WB_Riesgos","working_list","P1","32 items","keep_in_support_path","source_order=5; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"6","06 P1 WB_AprendizajesOperativos","SD-BL-006","06","active","WB_AprendizajesOperativos","working_list","P1","27 items","keep_in_support_path","source_order=6; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"7","07 P1 WB_CapacidadesOperativas","SD-BL-007","07","active","WB_CapacidadesOperativas","working_list","P1","21 items","keep_in_support_path","source_order=7; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"8","08 P1 LIB_Runbooks","SD-BL-008","08","active","LIB_Runbooks","support_library","P1","8 items","keep_in_support_path","source_order=8; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"9","09 P1 LIB_DiccionarioCanonico","SD-BL-009","09","active","LIB_DiccionarioCanonico","support_library","P1","1 item","keep_in_support_path","source_order=9; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"10","10 P1 LIB_AgentPrompts","SD-BL-010","10","active","LIB_AgentPrompts","support_library","P1","0 items","keep_in_support_path","source_order=10; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
"11","11 P1 LIB_EvidenciaTecnica","SD-BL-011","11","active","LIB_EvidenciaTecnica","support_library","P1","6 items","keep_in_support_path","source_order=11; source_ref=sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList",,"matrices/sharepoint/SYS_GOBIERNOOPERATIVO_PILOTO_PRIORIZACION_EJECUCION_LISTAS_BIBLIOTECAS.csv","6/11/2026 00:00:00",
