"list_item_id","old_title","new_title","old_backlog_id","new_backlog_id","old_eje","new_eje","old_iniciativa","new_iniciativa","old_dominio","new_dominio","old_macroproceso","new_macroproceso","source_execution_order","source_surface_kind","source_item_count","source_evidence_ref","action"
"1","01 P0 WB_Decisiones 1-7","01 P0 LIB_GobiernoSistemas","SD-BL-001","SD-BL-001","WB_Decisiones","LIB_GobiernoSistemas","MW/SDU","governance_core","P0","P0","1-7","20 items","1","library","20","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"2","02 P0 WB_Decisiones 8-9","02 P0 SD_BacklogEstrategico","SD-BL-002","SD-BL-002","WB_Decisiones","SD_BacklogEstrategico","MW cabina","visible_backlog","P0","P0","8-9","11 items","2","list","11","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"3","03 P0 WB_Decisiones 10-12","03 P0 WB_Decisiones","SD-BL-003","SD-BL-003","WB_Decisiones","WB_Decisiones","SDU gate","working_list","P0","P0","10-12","31 items","3","list","31","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"4","04 P1 SYS_EstadoOperativo 1-7","04 P0 SYS_EstadoOperativo","SD-BL-004","SD-BL-004","SYS_EstadoOperativo","SYS_EstadoOperativo","MW","system_list","P1","P0","1-7","68 items","4","list","68","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"5","05 P1 SYS_EstadoOperativo 8-12","05 P1 WB_Riesgos","SD-BL-005","SD-BL-005","SYS_EstadoOperativo","WB_Riesgos","site/base","working_list","P1","P1","8-12","32 items","5","list","32","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"6","06 P2 WB_Riesgos 1-2","06 P1 WB_AprendizajesOperativos","SD-BL-006","SD-BL-006","WB_Riesgos","WB_AprendizajesOperativos","MW Power Platform","working_list","P2","P1","1-2","27 items","6","list","27","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"7","07 P2 WB_Riesgos 3-15","07 P1 WB_CapacidadesOperativas","SD-BL-007","SD-BL-007","WB_Riesgos","WB_CapacidadesOperativas","MW live risks","working_list","P2","P1","3-15","21 items","7","list","21","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"8","08 P2 WB_Riesgos 16","08 P1 LIB_Runbooks","SD-BL-008","SD-BL-008","WB_Riesgos","LIB_Runbooks","SDU drift","support_library","P2","P1","16","8 items","8","library","8","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"9","09 P3 WB_AprendizajesOperativos 1-5","09 P1 LIB_DiccionarioCanonico","SD-BL-009","SD-BL-009","WB_AprendizajesOperativos","LIB_DiccionarioCanonico","SDU operativo","support_library","P3","P1","1-5","1 item","9","library","1","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"10","10 P3 WB_AprendizajesOperativos 6","10 P1 LIB_AgentPrompts","SD-BL-010","SD-BL-010","WB_AprendizajesOperativos","LIB_AgentPrompts","SDU cierre","support_library","P3","P1","6","0 items","10","library","0","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
"11","11 P4 WB_CapacidadesOperativas none current MW/SDU rows","11 P1 LIB_EvidenciaTecnica","SD-BL-011","SD-BL-011","WB_CapacidadesOperativas","LIB_EvidenciaTecnica","n/a","support_library","P4","P1","none current MW/SDU rows","6 items","11","library","6","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","repurpose_to_priority_lane"
