"canon_kind","object_name","status","why_canonical","evidence_refs","notes"
"site","SYS-GobiernoOperativo-PILOTO","confirmed","root governed pilot surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|get_site","site id and display name already confirmed"
"library","LIB_GobiernoSistemas","confirmed","main control bundle","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_site_drives|list_folder_items","main governance package"
"bundle","MW-MAQUINA-CABINA-OPERATIVA-SHAREPOINT-V1","confirmed","architecture bundle","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","architecture and operating guide pack"
"bundle","TGE_Control_20260514","confirmed","control bundle","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","library and list capacity reconciliation pack"
"bundle","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","confirmed","execution bundle","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","activation and execution pack"
"file","MANIFEST_CABINA_OPERATIVA_SHAREPOINT.yml","confirmed","canonical manifest reference","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:MW-MAQUINA-CABINA-OPERATIVA-SHAREPOINT-V1","metadata visible; body not yet extracted"
"file","00_READBACK_SYS_TGE_20260514.md","confirmed","canonical control readback","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_Control_20260514","control package readback"
"file","02_MATRIZ_LISTAS_REQUERIDAS_VS_CAPACIDAD_ACTUAL_20260514.csv","confirmed","canonical reconciliation matrix","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_Control_20260514","lists vs capacity matrix"
"file","07_GATE_STAGING_DOCUMENTAL_OPS_WB_SYS_20260514.md","confirmed","canonical gate reference","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_Control_20260514","staging/documental gate"
"file","TGE_SDU_CN_AGENT_ACTIVATION_ORDER_20260531.md","confirmed","canonical execution order","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531/orders","execution order artifact"
