"category","object_name","status","relation_shape","missing_metadata","evidence_refs","next_probe","notes"
"live_surface","site_root","confirmed","site_and_library_root","","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|get_site|list_site_drives|list_folder_items","none","site id and visible libraries confirmed"
"live_surface","Documents","confirmed","document_library_root","","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_site_drives","none","root drive for the site"
"live_surface","Frentes","confirmed","front_folder","","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:root","Cumplimiento Normativo","front branch under the default library"
"live_surface","LIB_GobiernoSistemas","confirmed","governance_bundle","","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:root","subfolders and file bodies","main control bundle"
"documentary","MW-MAQUINA-CABINA-OPERATIVA-SHAREPOINT-V1","confirmed","architecture_bundle","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","read markdown bodies","cabina visible architecture pack"
"documentary","TGE_Control_20260514","confirmed","control_bundle","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","read markdown and csv bodies","control and reconciliation pack"
"documentary","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","confirmed","execution_bundle","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:LIB_GobiernoSistemas","read subfolder files","execution pack with context/evidence/manifests/orders/readbacks"
"mirror","context","confirmed","execution_context_subfolder","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","read bodies","contains activation artifacts"
"mirror","evidence","confirmed","execution_evidence_subfolder","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","read bodies","contains evidence artifacts"
"mirror","manifests","confirmed","manifest_subfolder","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","read bodies","contains gate/risk/canon manifests"
"mirror","orders","confirmed","order_subfolder","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","read bodies","contains activation order docs"
"mirror","readbacks","confirmed","readback_subfolder","file bodies not extracted","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|list_folder_items:TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","read bodies","contains execution readbacks"

