"index_order","surface_name","surface_kind","operational_cluster","priority_band","use_now","cabina_role","other_cabina_use","derived_action","next_action","evidence_ref","notes"
"1","LIB_GobiernoSistemas","library","governance_core","P0","active","governance_core","direct_primary","reuse_now","keep_in_next_execution_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","main governance bundle library"
"2","SD_BacklogEstrategico","list","backlog_visible","P0","active","visible_backlog","direct_primary","reuse_now","keep_in_next_execution_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","visible backlog target; default view fields expanded to show operational order"
"3","SYS_EstadoOperativo","list","system","P0","active","system_list","direct_primary","reuse_now","keep_in_next_execution_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","operational status matrix; confirmed present in site"
"4","WB_Decisiones","list","worklist","P0","active","working_list","direct_primary","reuse_now","keep_in_next_execution_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live operational decision list; confirmed present in site"
"5","EvidenciasCarga","library","evidence_library","P1","active","library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","evidence library for load artifacts"
"6","LIB_AgentPrompts","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"7","LIB_DiccionarioCanonico","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"8","LIB_EvidenciaTecnica","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"9","LIB_ExportacionesControladas","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"10","LIB_Formacion","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"11","LIB_KnowledgeBase","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"12","LIB_PilotoPermisosControlados","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"13","LIB_Plantillas","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"14","LIB_ReplicaOperativa","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"15","LIB_Runbooks","library","library","P1","active","support_library","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"16","SD_Agentes","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"17","SD_MetadataRegistry","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"18","SD_OrdenesDeclarativas","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"19","SD_Repositorios","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"20","SD_Riesgos","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"21","SD_VersionesSistema","list","sdu","P1","active","list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"22","SYS_Capacidades","list","system","P1","active","system_list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"23","SYS_FlujosPowerAutomate","list","system","P1","active","system_list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"24","SYS_FlujosTrabajo","list","system","P1","active","system_list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"25","SYS_Habilidades","list","system","P1","active","system_list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"26","SYS_Sistemas","list","system","P1","active","system_list","direct_support","reuse_with_context","keep_in_support_path","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
