"execution_order","priority_band","priority_rank","surface_name","surface_kind","item_count","use_now","execution_lane","backlog_value","next_backlog_action","why_now","evidence_ref","notes"
"1","P0","0","LIB_GobiernoSistemas","library","20","active","library","highest","keep_in_next_execution_path","core live surface for current operating front","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","main governance bundle library"
"2","P0","3","SD_BacklogEstrategico","list","11","active","list","highest","keep_in_next_execution_path","core live surface for current operating front","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","visible backlog target; default view fields expanded to show operational order"
"3","P0","4","WB_Decisiones","list","31","active","list","highest","keep_in_next_execution_path","core live surface for current operating front","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live operational decision list; confirmed present in site"
"4","P0","5","SYS_EstadoOperativo","list","68","active","list","highest","keep_in_next_execution_path","core live surface for current operating front","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","operational status matrix; confirmed present in site"
"5","P1","6","WB_Riesgos","list","32","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","risk register; confirmed present in site"
"6","P1","7","WB_AprendizajesOperativos","list","27","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","operational learning list; confirmed present in site"
"7","P1","8","WB_CapacidadesOperativas","list","21","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","capacity list; confirmed present in site"
"8","P1","9","LIB_Runbooks","library","8","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"9","P1","10","LIB_DiccionarioCanonico","library","1","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"10","P1","11","LIB_AgentPrompts","library","0","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"11","P1","12","LIB_EvidenciaTecnica","library","6","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"12","P1","13","LIB_Plantillas","library","1","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"13","P1","14","LIB_KnowledgeBase","library","1","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"14","P1","15","LIB_ExportacionesControladas","library","0","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"15","P1","16","LIB_ReplicaOperativa","library","0","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"16","P1","17","LIB_PilotoPermisosControlados","library","1","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"17","P1","18","LIB_Formacion","library","2","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"18","P1","20","EvidenciasCarga","library","20","active","library","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","evidence library for load artifacts"
"19","P1","21","SD_Agentes","list","14","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"20","P1","22","SD_MetadataRegistry","list","2","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"21","P1","23","SD_OrdenesDeclarativas","list","1","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"22","P1","24","SD_Repositorios","list","3","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"23","P1","25","SD_Riesgos","list","2","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"24","P1","26","SD_VersionesSistema","list","4","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"25","P1","27","SYS_Capacidades","list","20","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"26","P1","28","SYS_FlujosPowerAutomate","list","7","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"27","P1","29","SYS_FlujosTrabajo","list","14","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"28","P1","30","SYS_Habilidades","list","20","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"29","P1","31","SYS_Sistemas","list","3","active","list","high","keep_in_support_path","direct operational support surface","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"30","P2","1000","Activos del sitio","library","4","review","library","medium","read_and_compare_before_use","visible support surface; compare before reuse","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"31","P2","1000","AGT_Agentes","list","13","review","list","medium","read_and_compare_before_use","visible support surface; compare before reuse","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"32","P2","1000","AGT_Feedback","list","0","review","list","medium","read_and_compare_before_use","visible support surface; compare before reuse","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"33","P2","1000","AGT_Guardrails","list","0","review","list","medium","read_and_compare_before_use","visible support surface; compare before reuse","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
