"index_order","surface_name","surface_kind","base_template","hidden","item_count","default_view_url","operational_cluster","priority_band","use_now","cabina_role","other_cabina_use","relation_shape","upstream_anchor","downstream_anchor","derived_action","next_action","flow_summary","evidence_ref","notes"
"1","LIB_GobiernoSistemas","library","101","False","20","/sites/SYS-GobiernoOperativo-PILOTO/LIB_GobiernoSistemas/Forms/AllItems.aspx","governance_core","P0","active","governance_core","direct_primary","governance_core_hub","live inventory; canonical evidence; ordered backlog","all priority lists and libraries","reuse_now","keep_in_next_execution_path","Core bundle governs backlog, evidence, and execution.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","main governance bundle library"
"2","SD_BacklogEstrategico","list","100","False","11","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_BacklogEstrategico/AllItems.aspx","backlog_visible","P0","active","visible_backlog","direct_primary","backlog_queue_hub","governance core; live operating signals","execution surfaces; support libraries","reuse_now","keep_in_next_execution_path","Visible backlog coordinates priority and next actions.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","visible backlog target; default view fields expanded to show operational order"
"3","SYS_EstadoOperativo","list","100","False","68","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_EstadoOperativo/AllItems.aspx","system","P0","active","system_list","direct_primary","system_console_flow","live signals; control bundle","backlog; operational reviews; support surfaces","reuse_now","keep_in_next_execution_path","System list concentrates status and operational control.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","operational status matrix; confirmed present in site"
"4","WB_Decisiones","list","100","False","31","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_Decisiones/AllItems.aspx","worklist","P0","active","working_list","direct_primary","working_register_flow","execution outcomes; governance bundle","decisions; risks; learnings; capabilities","reuse_now","keep_in_next_execution_path","Working list captures operational evidence and feeds review loops.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live operational decision list; confirmed present in site"
"5","EvidenciasCarga","library","101","False","20","/sites/SYS-GobiernoOperativo-PILOTO/EvidenciasCarga/Forms/AllItems.aspx","evidence_library","P1","active","library","direct_support","document_repository_flow","working outputs; exports; evidence loads","readbacks; snapshots; curated documents","reuse_with_context","keep_in_support_path","Document library stores evidence, exports, and curated artifacts.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","evidence library for load artifacts"
"6","LIB_AgentPrompts","library","101","False","0","/sites/SYS-GobiernoOperativo-PILOTO/LIB_AgentPrompts/Forms/AllItems.aspx","library","P1","active","support_library","direct_support","support_library_flow","governance core; working lists","agents; boards; readbacks; execution packages","reuse_with_context","keep_in_support_path","Support library feeds reuse, prompts, runbooks, and evidence.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"7","LIB_DiccionarioCanonico","library","101","False","1","/sites/SYS-GobiernoOperativo-PILOTO/LIB_DiccionarioCanonico/Forms/AllItems.aspx","library","P1","active","support_library","direct_support","support_library_flow","governance core; working lists","agents; boards; readbacks; execution packages","reuse_with_context","keep_in_support_path","Support library feeds reuse, prompts, runbooks, and evidence.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"8","LIB_EvidenciaTecnica","library","101","False","6","/sites/SYS-GobiernoOperativo-PILOTO/LIB_EvidenciaTecnica/Forms/AllItems.aspx","library","P1","active","support_library","direct_support","support_library_flow","governance core; working lists","agents; boards; readbacks; execution packages","reuse_with_context","keep_in_support_path","Support library feeds reuse, prompts, runbooks, and evidence.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"9","LIB_ExportacionesControladas","library","101","False","0","/sites/SYS-GobiernoOperativo-PILOTO/LIB_ExportacionesControladas/Forms/AllItems.aspx","library","P1","active","support_library","direct_support","support_library_flow","governance core; working lists","agents; boards; readbacks; execution packages","reuse_with_context","keep_in_support_path","Support library feeds reuse, prompts, runbooks, and evidence.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
"10","LIB_Formacion","library","101","False","2","/sites/SYS-GobiernoOperativo-PILOTO/LIB_Formacion/Forms/AllItems.aspx","library","P1","active","support_library","direct_support","support_library_flow","governance core; working lists","agents; boards; readbacks; execution packages","reuse_with_context","keep_in_support_path","Support library feeds reuse, prompts, runbooks, and evidence.","sharepoint:/sites/SYS-GobiernoOperativo-PILOTO|Get-PnPList","live site surface from current inventory"
