"artifact_path","artifact_kind","origin_lane","disposition","derived_to","owner_surface","sensitivity","contains_secret_material","live_write_executed","should_commit","sha256","rollback","validator","stop_condition","notes"
".agents/codex/evals/results/entra_application_inventory_20260603_summary.json","evidence_summary","entra_inventory_review","keep_in_root","cdf-soluciones; tge-agentic-runtime-control-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","69C15C589156079706B22710D85AE87D78AA67F4320F35D81A0F5DA84068F31E","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Summary evidence for governed Entra inventory; no tenant write executed in this cleanup."
".agents/codex/evals/results/entra_application_registry_review_gate_20260603_summary.json","evidence_summary","entra_review_gate","keep_in_root","cdf-soluciones; agentic-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","7DBDF48670FBD07B8365CC2FE40D7C7DE4936E5894C3F803D436AE0DD28D4F1A","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Review-gate summary for Entra registry; downstream use stays reference-only until target order exists."
".agents/codex/evals/results/openai_sdu_agents_api_summary_20260604.json","evidence_summary","openai_sdu_agents_smoke","keep_in_root","seshat-bootstrap-sdu-cn; agentic-escribania by reference","cabina-universal-d","runtime_metadata_limited","no_pattern_hits","no","yes","1839B65F57581E57A9CF228BA1D780076011C42B8A09672194C84DB2E3AD858D","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Sanitized OpenAI SDU agents smoke summary; no new API call executed in this cleanup."
".agents/codex/evals/results/openai_sdu_agents_payload_20260604.json","evidence_payload_sanitized","openai_sdu_agents_smoke","keep_in_root","seshat-bootstrap-sdu-cn; agentic-escribania by reference","cabina-universal-d","runtime_metadata_limited","no_pattern_hits","no","yes","C8C2C576A3DFD12693FC79F200675C58ED55632EC570E90022B478281A1F635F","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Sanitized payload evidence for governed runtime lane; not a secret store."
".agents/codex/evals/results/openai_sdu_agents_response_20260604.json","evidence_response_sanitized","openai_sdu_agents_smoke","keep_in_root","seshat-bootstrap-sdu-cn; agentic-escribania by reference","cabina-universal-d","runtime_metadata_limited","no_pattern_hits","no","yes","012A5CCCB1A1B5DE27F62A86490880FBEE0E5422A418A4CA803D40BA127C3167","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Sanitized response evidence for governed runtime lane; no raw secret material detected."
".agents/codex/evals/results/rey_guia_reconciliation_summary_20260604.json","evidence_summary","rey_guia_reconciliation","keep_in_root","root canon; seshat by reference","cabina-universal-d","governance_metadata","no_pattern_hits","no","yes","65D7FDD100050B03F333DF164752B977C178393DE61B0FD5C78BD48E88481E85","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Root reconciliation evidence; keep with cabina governance readbacks."
".agents/codex/matrices/ENTRA_APPLICATION_REGISTRY_20260603.csv","governance_matrix","entra_inventory_review","keep_in_root","cdf-soluciones; agentic-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","22FF42F6A3C4A9858ACDCA9F6B449B26E7E68A06C442D5224B56903634B515EF","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Application registry uses hashed identifiers and governance fields; no physical derivation to nested repos."
".agents/codex/matrices/ENTRA_APPLICATION_REGISTRY_REVIEW_GATE_20260603.csv","governance_matrix","entra_review_gate","keep_in_root","cdf-soluciones; agentic-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","B788D0539D684475DCA8CA4B47371DCEE66EA4E3DC540CD0AAE1B3AB2FB0FAF3","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Review-gate matrix for governed Entra follow-up; writes remain gated."
".agents/codex/matrices/ENTRA_PERMISSION_GRANT_REGISTRY_20260603.csv","governance_matrix","entra_inventory_review","keep_in_root","cdf-soluciones; agentic-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","A002CC5ED4B5FD20FF6AF9B9C317C46474A62E888270BAC730FF3DC19B848B62","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Permission grant registry is review evidence only; no permission mutation executed."
".agents/codex/matrices/ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603.csv","governance_matrix","entra_inventory_review","keep_in_root","cdf-soluciones; agentic-escribania by reference","cabina-universal-d","tenant_metadata_limited","no_pattern_hits","no","yes","CD539B20943101B1FF53CBB51E4387740B0713F28CDFBA40E1B76B951205F525","remove file from branch before merge","git diff --check; local_validate_agent_layer.ps1","secret_detected_or_unclassified_scope","Service-principal registry keeps hashes and counts; credential values are not stored."
