"validator_id","decision","artifact","reason","blocked_if_live"
"local_validate_skill_recipe_agent_learning","IMPLEMENTED",".agents/codex/tools/local_validate_skill_recipe_agent_learning.ps1","simple local file and CSV validator for this retrospective package","no"
"local_validate_dataverse_seed_batch_integrity","DESIGN_ONLY","NO_APLICA","needs broader seed contract review","no"
"local_validate_workqueue_payload_contract","DESIGN_ONLY","NO_APLICA","candidate for next Power Automate PR","no"
"local_validate_openai_metadata_only_batch","DESIGN_ONLY","NO_APLICA","candidate after OpenAI metadata policy review","no"
"local_validate_runtime_one_flow_one_item","DESIGN_ONLY","NO_APLICA","candidate after runtime operator profile exists","no"
"local_validate_postmerge_evidence_closure","DESIGN_ONLY","NO_APLICA","candidate closeout validator","no"
"local_validate_no_infinite_readback_chain","DESIGN_ONLY","NO_APLICA","needs readback registry semantics","no"
"local_validate_backreference_columns_contract","DESIGN_ONLY","NO_APLICA","candidate extension to PR68 validator","no"
"local_validate_backreference_target_mapping_exactness","DESIGN_ONLY","NO_APLICA","candidate extension to PR68 validator","no"
"local_validate_mapping_record_before_target_write","DESIGN_ONLY","NO_APLICA","candidate extension to PR68 validator","no"
